"more presumptious","pió presuntuoso"
"surveying by triangulation for engineering projects","rilievo per triangolazione per progetti d'ingegneria"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please.","  Vorrei poterti dire da dove iniziare la ricerca.  Fino ad allora, sei libero di fare ciï che vuoi."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Frattura sovrapposta"
"Shrub","Arbusto"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Possiamo separarci al massimo da "
"Make Caves Visible","Rendi visibili le grotte"
" has calmed down."," si ä calmato."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","ritiene che sia della massima importanza presentare un volto deciso e non lamentarsi mai, nÇ mostrare emozioni"
"Leave Wall","Lascia Muro"
"medicine:theory:classification of bodily fluids","medicina:teoria:classificazione dei fluidi corporei"
"Associated","Associato"
"Returning soldiers bring rumor(s)","Dicerie riportate dai soldati di ritorno"
"has a fairly deep and raspy voice","ha una voce piuttosto profonda e roca"
" bag is used by the musician to control the steady flow of air through the instrument.]"," borsa viene usata dal musicista per controllare il flusso costante d'aria attraverso lo strumento.]"
"You feel hot/cold","Senti caldo/freddo"
"drinking without well","bevuto senza pozzo"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Assegna un ordine di difesa del rifugio.  I soldati pattuglieranno il rifugio e attaccheranno qualsiasi creatura ostile."
"Forceps","Pinze"
"tanned","conciato"
"engineering:optics:theory of rainbows","ingegneria:ottica:teoria degli arcobaleni"
" terrified"," terrorizzato"
" promised "," promesso "
"Invaders can dig natural walls","Gli invasori possono scavare muri naturali"
"No item to throw","Nessun oggetto da lanciare"
"being tormented in nightmares by a dead sibling","tormentato negli incubi da un fratello morto"
"The guildhall petition by ","La petizione della casa della gilda di "
"Surgeon","Chirurgo"
"mathematics:algebra:divergence of harmonic series","matematica:algebra:divergenza delle serie armoniche"
"burned away","bruciato"
"by invocation of True Name","attraverso l'invocazione del Vero Nome"
"You've caught a ","Hai preso un "
"Give me the bustle and noise over all that quiet!","Dammi il trambusto e il rumore su tutto quel silenzio!"
"as a former slave of","in quanto ex schiavo di"
"respects commerce","rispetta il commercio"
"the Line","la Linea"
"feeling apathetic","sentirsi apatici"
"recruit","recluta"
" was imprisoned by"," ä stato imprigionato da"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","vede il conseguimento e la conservazione della conoscenza come un'impresa offensiva, intrapresa da sciocchi arroganti"
"bowls","ciotole"
"is short and just incredibly fat","ä basso e incredibilmente grasso"
"strand extractor","estrattore di filoni"
"former master","ex maestro"
" is at war with us."," ä in guerra con noi."
"the Rising of the Moon","il Sorgere della Luna"
"is weak and extremely short","ä debole ed estremamente basso"
"begins to stammer when ","inizia a balbettare quando "
"addition of masterful rollers","aggiunta di rulli magistrali"
"Welcome to Dwarf Fortress","Benvenuto su Dwarf Fortress"
"Grab Milk Unit","Prendi unitÖ di Latte"
" has brought back many tales from beyond "," ha riportato molte storie dall'estero "
"thoughtless","sconsiderato"
"Clothes Making","Creazione di vestiti"
"Mechanic","Meccanico"
"clothes rot off of ","i vestiti sono andati marcendo su "
"That's not right.","Non ä giusto."
"Nothing to interact","Nessuna interazione"
"Many are ","Molti sono "
"often feels lustful","si sente spesso lussurioso"
"forming a bond with an animal training partner","creando un legame con un animale compagno d'addestramento"
"Embark","Insedia"
", animated by unknown forces",", animato da forze sconosciute"
"Uninterested in an owner","Non interessato in un proprietario"
"No match.","Nessuna corrispondenza."
"a year ago","un anno fa"
"completed job","lavori completati"
"SAVAGERY REJECTION","FEROCIA RIFIUTATA"
"Dictionary","Dizionario"
"woodcutter","taglialegna"
"I worship no one.","Non adoro nessuno."
"does not easily fall in love and rarely develops positive sentiments","non si innamora facilmente e raramente sviluppa sentimenti positivi"
"Duplicate","Duplicato"
"Trader","Commerciante"
"the search of ","la ricerca di "
"Preparing for the caravan","Preparando per la carovana"
"Your bookkeeper has done enough work to attain ","Il tuo contabile ha svolto abbastanza lavoro per ottenere "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","L'artigianato nel gioco base si limita alla costruzione di un'ascia di pietra necessaria per abbattere gli alberi.  Per iniziare puoi raccogliere alcune rocce e un ramo d'albero.  "
" was spotted sneaking around!"," ä stato avvistato aggirarsi furtivamente!"
"more of a loner","pió di un solitario"
"Find embark location","Trova luogo d'insediamento"
"Child is nobility","Il bambino ä nobile"
"light","luce"
"Various seeds","Semi vari"
" Downward Track (NE)"," Binario in Gió (NE)"
"denting","intaccando"
" the name "," il nome "
"stress vulnerability","vulnerabilitÖ allo stress"
"Initial forest square count fails by ","Il conteggio iniziale dei riquadri di foresta fallisce per "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Le tue imprese saranno documentate per la modalitÖ Leggende e dai mastri incisori nelle successive fortezze del tuo mondo."
"flat","piatto"
"The desired pitch is selected using a ","L'intonazione desiderata viene selezionata usando un "
"Feared as a villain","Temuto come cattivo"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Scegli se la scorta puï prendere oggetti da qualsiasi luogo o solo da botteghe e scorte specifiche."
"boiling clear glass","vetro chiaro bollente"
"I accept this honor.","Accetto quest'onore."
"the method of writing the history of a single individual","il metodo di scrittura della storia di un singolo individuo"
" and it is mostly cut away from the rest of the torso!"," ed ä quasi staccata dal resto del torso!"
" own possessions"," i propri beni"
"rages","s'infuria"
"Announcements","Annunci"
"meeting area zones, dining rooms and","zone d'area d'incontro, sale da pranzo e"
" became "," diventato "
" is angry"," ä arrabbiato"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Per poter utilizzare alcune funzioni, come ordini di lavoro o contabilitÖ, ä necessario assegnare [C:5:0:0]Amministratori[C:7:0:0]. "
"Shearer","Tosatore"
"Mid-","Mezzo/a"
" rope"," corda"
"ill-fated ","sfortunato "
"feel heavy","sentirsi pesanti"
"The army of ","L'esercito di "
"is very frail and incredibly long","ä molto fragile e incredibilmente lungo"
"a robbery","una rapina"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Se sopravvivi fino all'arrivo della carovana puoi anche commerciare per [C:6:0:1]Bevande[C:7:0:0] "
"Slab engraved","Lastra incisa"
"You know, I think you're right.","Sai, credo che tu abbia ragione."
"in order to glorify ","per glorificare "
" battles"," battaglie"
"Masterwork","Capolavoro"
"amused","divertito"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","I cittadini insoddisfatti possono causare problemi e meno persone rischieranno di recarsi ad una "
"You need a free grasp to climb.","Hai bisogno di una presa libera per arrampicarti."
"wombat","vombato"
"a divine being","un essere divino"
"earth","terra"
"specialized surgical instruments","strumenti chirurgici specializzati"
" and it is all thanks to "," ed ä tutto grazie a "
"is gigantic and quite fat","ä gigantesco e alquanto grasso"
"Gladiatory Games","Giochi Gladiatori"
"Water wheels are 1x3 or 3x1.","Le ruote idrauliche sono 1x3 o 3x1."
" looks "," guarda "
"free rhythm","ritmo libero"
"I see your low race still revels in death.  That poor, gentle creature...","Vedo che la tua bassa razza gode ancora della morte.  Quella povera, gentile creatura..."
"Please help me to escape from this place.","Per favore, aiutami a fuggire da questo posto."
" Upward Track (NS)"," Binario in Su (NS)"
"the Purchase","l'Acquisto"
"who","chi"
"the ghost of my sibling","il fantasma di mio fratello"
" a friend"," un amico"
" specific move"," mossa specifica"
"the classification of toxic substances","la classificazione delle sostanze tossiche"
"mid-length phrases","frasi di media lunghezza"
"Writing","Scrittura"
"a great dining room","una grande sala da pranzo"
"is thin, skinny and weak","ä esile, esile e debole"
"announcement","annuncio"
"Machines/fluids","Macchinari/fluidi"
", but it means nothing now.",", ma ora non significa nulla."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Probabilmente i tuoi nani moriranno di fame, a meno che tu non legga le prime guide qui! "
"Frequent","Frequente"
"the mercenary operation","l'operazione mercenaria"
"Comrade","Compagno"
"is quite mocking in tone","il tono ä alquanto beffardo"
"'s onslaught","assalto violento"
"geography:form:atlas","geografia:forma:atlante"
"I'm very lonely.","Sono molto solitario."
"active performance poem reciter","esibizione attiva recitatore di poesie"
"has high cheekbones","ha gli zigomi alti"
"philosophy:specialized:politics social welfare","filosofia:specializzata:politica assistenza sociale"
"a noted flatterer","un noto adulatore"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","Le [C:3:0:0]Zone[C:7:0:0] sono collocate come le [C:6:0:0]Scorte[C:7:0:0]. "
"Mandate period (more = fewer)","Periodo di mandato (pió = di meno)"
"Cirrus","Cirro"
"Nonsense","AssurditÖ"
"mathematics:geometry:pythagorean triples small","matematica:geometria:tripli pitagorici piccoli"
"the construction and use of the flask","la costruzione e l'uso della fiaschetta"
" Floor Grate"," Grata a pavimento"
"greedier","pió avido di"
"a theft","un furto"
"Resourcefulness","Intraprendenza"
"the enactment of a series of oppressive laws","la promulgazione di una serie di leggi oppressive"
"medicine:theory:disease classification","medicina:teoria:classificazione della malattia"
"the struggle for survival","la lotta per la sopravvivenza"
"the construction and use of the astrarium","la costruzione e l'uso del planetario"
"ladies","signore"
"profaned","profanato"
"has a large body but is incredibly skinny","ha un corpo grande ma ä incredibilmente secco"
"is lanky and frail","ä smilzo e fragile"
" boldly, even if it would offend an average sense of modesty"," audacemente, anche se offenderebbe un senso medio del pudore"
"That's suspicious!","‘ sospetto!"
"has an extremely broad body with lots of fat on it","ha un corpo estremamente ampio e ricco di grasso"
"Dirt Road","Strada sterrata"
"the causes of historical events","le cause degli eventi storici"
"You are nauseated.","Hai la nausea."
"Give me a break.","Dammi tregua!"
"Cloth Workshop","Bottega della stoffa"
"d strongly favored","d fortemente favorito"
"the taming of the ","l'addomesticamento del "
"Engravers","Incisori"
"grieved","addolorato"
" partially free of the web."," parzialmente libero dalla tela."
" mounts "," monta "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","Impossibile trovare CREATURE_CASTE_GRAPHICS la casta della creatura "
"Traits","Tratti"
" to live a life of adventure"," per vivere una vita di avventura"
"gets distracted from conversations easily when ","si distrae facilmente dalle conversazioni quando "
" weapons"," armi "
" superiorly designed"," progettato in modo superiore"
"Move keyboard cursor down (z)","Muovi cursore tastiera gió (z)"
"I'm not worried.","Non sono preoccupato."
"great creativity","grande greativitÖ"
"gave food","ha dato cibo"
"a castle wall","un muro di cinta di castello"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Un po' di tempo trascorso in riflessione ä ammirevole, ma non dimenticare di vivere la tua vita."
"the notion of bonds between members of a community","la nozione dei legami tra i membri di una comunitÖ"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Qui puoi creare parti per baliste e catapulte.  Questa bottega ä anche il luogo in cui vengono assemblate le munizioni della balista."
"legendary bully","leggendario prepotente"
"has a small build and is very weak and incredibly skinny","ä di corporatura minuta, molto debole e incredibilmente secco"
"Pike","Picca"
"being rescued","essere tratti in salvo"
"superior quality ","di qualitÖ superiore "
"being forced to endure the decay of an acquaintance","essere costretto a sopportare il decomporsi di un conoscente"
"The victory was shared by ","La vittoria ä stata condivisa da "
"extremely low","estremamente basso"
" because you are swimming."," perchÇ stai nuotando."
" talents and accomplishments"," talenti e traguardi"
"the Secret","il Segreto"
"dream","sogno"
"item was favorite possession","l'oggetto era il bene preferito"
"You conclude your performance.","Concludi la tua esibizione."
" told the story of "," raccontato la storia di "
"trapped in cage","intrappolato in gabbia"
"[C:1:0:1]Drowsy","[C:1:0:1]Sonnolento"
"brawler","attaccabrighe"
"Bypass greeting (new menu)","Bypass greeting (nuovo menó)"
"history:sourcing:role of systemic bias","storia:fonte:ruolo dei pregiudizi sistemici"
"I realized ","Mi sono reso conto "
", replacing ",", rimpiazzando "
"Workers ignore wood","I lavoratori ignorano il legno"
" log"," tronco"
" perpetrated "," perpetrato "
"often lowers ","spesso abbassa "
"We are besieged by a terrifying monster from the harshest wilderness.","Siamo assediati da un mostro terrificante che proviene dalle terre pió estreme."
"I ate at a crowded table.","Ho mangiato a un tavolo affollato."
"I feel such sympathy!","Provo una tale compassione!"
"River Source","Fonte Fiume"
" needs alcohol to get through the working day"," ha bisogno di alcol per affrontare la giornata lavorativa"
"Monk","Monaco"
" in search of excitement"," in cerca di emozioni"
"began to skulk and brood","ha cominciato a muoversi furtivo e rimuginare"
"No members","Nessun membro"
"is very polite and observes appropriate rules of decorum when possible","ä molto educato e osserva, quando possibile, adeguate regole di decoro"
"disillusioned","disilluso"
"Regions","Regioni"
" due to "," a causa di "
"a tribute agreement","un accordo tributario"
" throughout "," in tutto "
"Disdains commerce","Disdegna il commercio"
"st","deg"
"giving somebody food","dare cibo a qualcuno"
"The musician can alter the pitch of ","Il musicista puï modificare l'intonazione di "
"Carve fortification","Scolpisci fortificazione"
" and the "," e lo "
"things...  certain things","cose...  certe cose"
"Stone/clay","Pietra/argilla"
"Date: ","Data: "
"""Leave me.  I need... ","""Lasciatemi. Ho bisogno... "
"Rotten tissue excised from ","Tessuto marcio prelevato da "
"All I see here is not enough.","Ciï che vedo qui ä insufficiente."
"considers spending time alone much more important than associating with others","ritiene che trascorrere del tempo da soli sia molto pió importante che frequentare gli altri"
"Lover of ","Amante di "
"stole treasure from","rubato un tesoro"
"Predator and Prey","Predatore e Preda"
" masterfully dyed with "," tinta magistralmente con "
", once of the Underworld.  ",", una volta degli Inferi.  "
", is it really you?",", sei davvero tu?"
" own wellbeing, having no interest in material goods"," proprio benessere, non avendo alcun interesse per i beni materiali"
"[C:2:0:1]Spring","[C:2:0:1]Primavera"
"I must let grief pass me by.","Devo lasciare che il dolore passi."
"subdued","calmo"
"regretful","rammaricato"
"tetrachord","tetracordo"
"the color ","il colore "
"  Effective pressure to comply came from co-conspirators surrounding ","  Le pressioni effettive per l'adempimento provenivano dai cospiratori che circondavano "
"A great beast threatens to bring ruin upon our people.","Una grande bestia minaccia di portare rovina sul nostro popolo."
"A snow storm has come.","‘ arrivata una tempesta di neve."
"Classic varied ground tiles","Piastrelle classiche per pavimenti assortite"
"striking a triumphant pose","assumendo una posa trionfante"
"Grab Weapon","Prendi Arma"
"feel agitated","sentirsi agitato"
"Throwing tantrum","Fare una sfuriata"
"gelder","castratore"
"would be lanky were it not for the massive muscles and slabs of lard","sarebbe smilzo se non fosse per i muscoli massicci e gli strati di lardo"
" refused an offer of peace from "," ha rifiutato un'offerta di pace da "
"Site","Sito"
" natural aversion to the adversary's inherent association with "," naturale avversione per l'associazione intrinseca dell'avversario con "
"finds those that engage in trade and commerce to be fairly disgusting","trova che coloro che si dedicano al commercio e all'artigianato siano alquanto disgustosi"
"the departure of","la partenza di"
"Seriously injured","Seriamente ferito"
"a shockingly profound feel for social relationships","una sensibilitÖ sorprendentemente profonda per i rapporti sociali"
"Temperate Brackish Pool","Pozza salmastra temperata"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Assicurati che parametri e predefiniti siano in grado di supportare aree a quota media, con precipitazioni medio-basse, ad alto drenaggio e non gelate. "
", where numbers indicate a refrain",", dove i numeri indicano un ritornello"
"Master","Maestro"
"the distinction between motor and sensory nerves","la distinzione tra nervi motori e nervi sensoriali"
" is surprised"," ä sorpreso"
"in a circle","in cerchio"
"Closed cases","Casi chiusi"
"air","aria"
"It is now summer.","Ora ä estate."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","Il cibo puï essere ottenuto nelle cittÖ, dall'ambiente o macellando i cadaveri con un oggetto appuntito.  "
"not distracted","non distratto"
"judge","giudice"
"parchment-producing ","produzione di pergamena "
"be spirited","essere spiritoso"
"Failed to install mod:","Install. mod fallita:"
"to make a great discovery","per fare una grande scoperta"
"Battle","Battaglia"
"Nobles and administrators","Nobili e Amministratori"
"crystal glass paste","pasta di vetro cristallo"
"This is your master.","Questo ä il tuo maestro."
" begins to stalk and brood..."," inizia a pedinare e a rimuginare..."
"the belief of","il credo di"
" first"," primo"
"These people carrying on about romance should be more practical.","Queste persone che parlano di romanticismo dovrebbero essere pió pratiche."
"Gather fruit and vegetables from shrubs in this zone.","Raccogli frutta e verdura dagli arbusti di questa zona."
"swamp","palude"
"This creature dwells underground.","Questa creatura abita sottoterra."
"the surgical method of scraping","il metodo chirurgico del raschiamento"
"unfavorable ","sfavorevole "
"Inveigh Against ","Inveisce contro "
"the state of demands","lo stato delle richieste"
"the Map","la Mqappa"
"Move the camera","Muovi la visuale"
"Dodge","Schiva"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","Le altezze sono densamente raggruppate in gruppi mentre la musica passa da un accordo all'altro. "
"medicine:method:fracture immobilization","medicina:metodo:immobilizzazione della frattura"
"Visitor cap","Max visitatori"
"Siege Engineer","Ingegnere d'assedio"
"straight scar.  ","cicatrice dritta.  "
"Mountain: ","Montagna: "
" was the "," ä stato il "
"the Lever","la Leva"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Colloca il pozzo in uno spazio aperto sopra l'acqua per fornire un'area relativamente sicura in cui i tuoi cittadini possano attingere acqua.  Richiede meccanismi, blocchi, una catena/corda e un secchio."
"Ninth","Nono"
"DOOR TAKEN BY INVADERS","PORTA CONQUISTATA DAGLI INVASORI"
"Designating items for melting","Marcando oggetti da fondere"
"can assign and edit the routines your soldiers will follow. ","puoi assegnare e modificare le routine che i soldati seguiranno. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","La sete di conoscenza di alcuni residenti puï essere soddisfatta dalla [C:1:0:1]Biblioteca[C:7:0:0]. "
"refugees calling themselves ","rifugiati che si fanno chiamare "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Frattura sovrapposta (in trazione)"
"soap maker","saponaio"
" was seen being stolen!"," ä stato visto durante il furto!"
"beat somebody up","picchiare qualcuno"
"Carpentry","Carpenteria"
"Burial Chamber","Camera Sepolcrale"
"Overall, ","Nel complesso, "
"a armorsmith's shop","un negozio dell'armoraro"
"Armorsmithing Workshop","Bottega dell'Armoraro"
"a large animal","un grosso animale"
"Already interviewed","GiÖ interrogato"
"It has started raining.","Ha iniziato a piovere."
"Will Tell","RacconterÖ"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Imposta ordini di raccolta delle piante.  Alcune piante richiedono frutti o altre escrescenze."
"One must always carefully consider the correct course of action.","Va sempre considerato con attenzione il modo corretto di agire."
", but they had nothing left to give",", ma non avevano pió nulla da dare"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Forse sono ancora tutti qui, non volendo lasciare la magnifica fortezza che hai preparato loro. "
"melted.","sciolto."
"history:sourcing:role of state bias and propaganda","storia:fonte:ruolo di propaganda e pregiudizi di stato"
" a mesmerizing tale!"," un racconto affascinante!"
"stonecutter","tagliapietre"
"A ballista's orientation cannot be changed","L'orientamento di una balista non puï essere modificato"
" boxes"," scatole"
"Unnamed tomb","Sepolcro senza nome"
"This is the butchering and crafting menu.","Questo ä il menu di macellazione e creazione."
"-line stanza","-versi stanza"
"death","morte"
" spin"," ruota"
"an empty population","una popolazione vuota"
"to smooth the operation of ","per facilitare l'operazione di "
"Seek Dressing Cloth","Cerca stoffa per medicare"
"It's very interesting.","‘ molto interessante."
"a poor","un povero"
"finds eloquence and artful speech off-putting","trova l'eloquenza e discorsi scaltri fuori luogo"
"jutting-chin","mento sporgente"
"Camera controls","Controlli visuale"
"paper-slurry ","impasto di carta "
"urging love between ","sollecitando l'amore tra "
"be used for burial.","ä utilizzato per la sepoltura."
"screw ","vite "
"The dead!","I morti!"
"boulder graphics","grafica masso"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","il metodo di compilazione di diverse biografie per confrontare e contrastare il carattere dei soggetti e per trarre una visione storica"
"sees working hard as a foolish waste of time","vede il duro lavoro come una sciocca perdita di tempo"
"Buried alive","Sepolto vivo"
"Unmet need: ","Insoddisfatto: "
"This nameless being","Questo essere senza nome"
"Only farmers harvest","Solo i contadini raccolgono"
"molten crystal glass","vetro cristallo fuso"
"speaks in a monotone when ","parla in modo monotono quando "
"infiltrate society","infiltrati in societÖ"
"Resets","Ripristina"
"the Mausoleum","il Mausoleo"
"the classification of disease","la classificazione delle malattie"
"High Precision","Alta precisione"
"the reproductive behavior of creatures","il comportamento riproduttivo delle creature"
"spear","lancia"
"Loading image sets...","Caricamento dei set d'immagini..."
"Value of temple complex","Valore del complesso di templi"
"Workers save shells","I lavoratori conservano le conchiglie"
"when full","quando pieno"
"Site Map:  Extra Item Occupancy ","Mappa del sito:  Occupazione oggetto extra "
" was the place to perform research."," era il luogo dove fare ricerca"
"Bowyer","Creatore d'archi"
"Take me away from here.","Portatemi via da qui."
"outside","fuori"
"legendary villain","leggendario cattivo"
"Tropical Shrubland","Macchia Tropicale"
"the acceptance","l'approvazione"
"The story of ","La storia di "
"You feel uneasy.","Ti senti a disagio."
"the Assumption","l'Assunzione"
" which was said to permeate "," che si diceva permeasse "
", Pressed",", Pressato"
" with the presentation of "," con la presentazione di "
"Yes!  It'll be great to perform with you.","Sç!  SarÖ fantastico esibirsi con voi."
"is very muscular and incredibly long","ä molto muscoloso e incredibilmente lungo"
"Dungeon Commander","Comandante delle segrete"
" a friend."," un amico."
"after communing with ","dopo aver comunicato con "
"What stories you tell!  It's such an honor to have you here.","Che storie che racconti!  ‘ un tale onore averti qui."
"modulates frequently","modula frequentemente"
" neck bowl"," guscio"
" available"," disponibile"
"Open","Aperto"
"gives a feeling of compassion here and there","dÖ una sensazione di compassione qua e lÖ"
"Civilized World Population","Popolazione del mondo civilizzato"
"Workers dump bones","I lavoratori scartano le ossa"
"yarn ","gomitolo "
"Analogy","Analogia"
"A wrestling competition","Una gara di lotta"
"The instrument has flue pipes and reed pipes.  ","Lo strumento ha canne labiali e ad ancia libera.  "
"sad","triste"
"tax","tassa"
