"more presumptious","더 주제넘은"
"various civilized races peopled the world.","다양한 문명화된 인종이 세계에 거주했습니다."
"Children.","어린이들."
"more wasteful","더 낭비"
" from a period of no rule"," 규칙이 없는 시대부터"
" second"," 초"
"has a narrow, prominent","좁고 눈에 띄는"
"to beseech","간청하다"
"Collapsed","축소됨"
"engineering:machine:piston","공학:기계:피스톤"
"Furniture/siege ammo","가구/공성 탄약"
"to bathe the world in chaos","세계를 혼돈에 빠뜨리다"
"Requests (Imports from ","요청(에서 가져오기 "
"surveying by triangulation for engineering projects","엔지니어링 프로젝트를 위한 삼각측량 측량"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please."," 제가 당신의 연구를 어디에서부터 시작할지 알려줄 수 있으면 좋으련만. 그전까지는 자유롭게 하고싶은 대로 하시면 됩니다."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].사지 골절"
"Shrub","관목"
"Make Caves Visible","동굴을 보이게"
" has calmed down."," 진정되었습니다."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","무표정인 얼굴로 절대 불평불만하지 않거나 감정을 드러내지 않는것이 가장 중요하다고 생각합니다."
"Leave Wall","벽을 떠나"
"medicine:theory:classification of bodily fluids","의학:이론:체액의 분류"
"has a fairly deep and raspy voice","상당히 깊고 거친 목소리를 가지고 있습니다."
"drinking without well","술을 잘 마시다"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","방어 명령을 지정합니다. 병사들은 동굴을 순찰하고 적대적인 생물을 공격할 것입니다."
"Forceps","집게"
"tanned","무두질된"
"engineering:optics:theory of rainbows","공학:광학:무지개 이론"
" terrified"," 겁에 질린"
" promised "," 약속 "
"being tormented in nightmares by a dead sibling","죽은 형제의 악몽에 시달림"
"The guildhall petition by ","길드홀 청원서 "
"Surgeon","외과의"
"mathematics:algebra:divergence of harmonic series","수학:대수:조화 급수의 발산"
"burned away","불에 타"
"You've caught a ","당신은 "
"Give me the bustle and noise over all that quiet!","그 조용한 모든 것에 소동과 소음을 줘!"
"as a former slave of","의 전 노예로"
"respects commerce","상업을 존중한다"
"the Line","더 라인"
"feeling apathetic","냉담한 느낌"
"recruit","모집하다"
" was imprisoned by"," 에 의해 투옥되었다"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","지식을 얻고 보존하는것은 바보들이나 하는 위험한 과제라고 생각합니다."
"bowls","그릇"
"is short and just incredibly fat","짧고 믿을 수 없을 정도로 뚱뚱하다"
"strand extractor","가닥 추출기"
"former master","전 마스터"
" is at war with us."," 우리와 전쟁 중입니다."
"the Rising of the Moon","떠오르는 달"
"is weak and extremely short","약하고 매우 짧습니다."
"begins to stammer when ","말을 더듬기 시작하는 때 "
"addition of masterful rollers","뛰어난 롤러 추가"
"Welcome to Dwarf Fortress","드워프 포트리스에 오신 것을 환영합니다"
"Grab Milk Unit","우유 챙기기"
" has brought back many tales from beyond "," 요새 너머에서 많은 이야기를 가져 왔다. "
"thoughtless","인정 없는"
"Clothes Making","옷만들기"
"Mechanic","기계공"
"clothes rot off of ","옷이 썩다 "
"That's not right.","그건 맞지 않습니다."
"often feels lustful","종종 욕정을 느낀다."
"forming a bond with an animal training partner","동물 훈련 파트너와 유대 형성"
"Embark","착수"
", animated by unknown forces",", 알 수 없는 힘에 의해 애니메이션"
"Uninterested in an owner","주인에게 관심이 없다"
"No match.","일치하는 항목이 없음."
"a year ago","한 해 전에"
"completed job","완료된 작업"
"SAVAGERY REJECTION","야만적인 거절"
"Dictionary","사전학"
"woodcutter","나무꾼"
"I worship no one.","나는 아무도 숭배하지 않는다."
"does not easily fall in love and rarely develops positive sentiments","쉽게 사랑에 빠지지 않으며 긍정적 인 감정을 드러내지 않는다."
"Duplicate","복제하다"
"Trader","상인"
"the search of ","검색 "
"Preparing for the caravan","카라반 준비"
" was spotted sneaking around!"," 돌아다니는 모습이 포착되었습니다!"
"more of a loner","더 많은 외톨이"
"Find embark location","정착 위치 찾기"
"Child is nobility","자녀가 귀족이다"
"light","빛"
"Various seeds","다양한 시드"
" Downward Track (NE)"," 하향 트랙(NE)"
"denting","찌그러뜨린다"
" the name "," 이름 "
"stress vulnerability","스트레스 취약성"
"Initial forest square count fails by ","초기 포리스트 평방 카운트(count)는 다음에 의해 실패: "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","당신의 업적은 당신의 세계에 있는 후속 요새에 있는 전설 모드와 마스터 조각가들에 의해 기록될 것입니다."
"flat","평평한"
"The desired pitch is selected using a ","원하는 피치는 "
"Feared as a villain","두려운 악당"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","저장구역이 모든곳에서 또는 특정 작업장과 특정 저장구역들에서만 품목을 가져갈 수 있는지의 여부를 전환합니다."
"boiling clear glass","끓는 투명 유리"
"I accept this honor.","이 영광을 받아들입니다."
"the method of writing the history of a single individual","한 개인의 역사를 쓰는 방식"
" and it is mostly cut away from the rest of the torso!"," 그리고 몸통에서 썩둑 잘려나갔다!"
" own possessions"," 자신의 소유물"
"rages","분노한다"
"meeting area zones, dining rooms and","회의 구역 구역, 식당 및"
" became "," ~가 되었다 "
" is angry"," 화나다"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","작업 지시서나 장부 작성과 같은 일부 기능을 사용하려면 [C:5:0:0]관리자[C:7:0:0]를 할당해야 합니다. "
"Shearer","양털깎이"
"Mid-","한"
" rope"," 로프"
"ill-fated ","불행한 "
"feel heavy","무거운 느낌"
"The army of ","의 군대 "
"is very frail and incredibly long","매우 연약하고 엄청나게 길다"
"a robbery","강도"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","만약 당신이 캐러밴이 오기 전까지 살아남는다면 [C:6:0:1]술[C:7:0:0]을 거래할 수도 있고 "
"Slab engraved","새겨진 석판"
"You know, I think you're right.","당신이 옳다고 생각합니다."
"in order to glorify ","영광을 돌리기 위해 "
" battles"," 전투"
"Masterwork","명작"
"amused","즐거운"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","불행한 시민은 돌발 행동을 하여 문제를 일으킬 수 있으며, 비참한 요새로 이동하려는 사람은 줄어들 것입니다. "
"wombat","웜뱃"
"a divine being","신성한 존재"
"earth","지구"
"specialized surgical instruments","특수 수술기구"
" and it is all thanks to "," 그리고 그것은 모두 덕분입니다 "
"is gigantic and quite fat","거대하고 꽤 뚱뚱하다"
"Gladiatory Games","검투사 게임"
"Water wheels are 1x3 or 3x1.","수차는 1x3 또는 3x1입니다."
" looks "," 보인다 "
"free rhythm","자유로운 리듬"
"Please help me to escape from this place.","이 곳에서 탈출할 수 있도록 도와주세요."
" Upward Track (NS)"," 상향 트랙(NS)"
"the Purchase","구매"
"the ghost of my sibling","내 동생의 유령"
" a friend"," 친구"
" specific move"," 특정 이동"
"the classification of toxic substances","독성 물질의 분류"
"mid-length phrases","중간 길이의 문구"
"Writing","글쓰기"
"a great dining room","훌륭한 식당"
"is thin, skinny and weak","가늘고 가늘고 약하다."
"Machines/fluids","기계/유체"
", but it means nothing now.",", 하지만 지금은 아무 의미가 없습니다."
"More likely, your dwarves will starve, unless you read the first few guides here! ","지금 가이드를 읽지 않는다면, 당신의 드워프들은 굶을 가능성이 큽니다! "
"Frequent","흔한"
"the mercenary operation","용병 작전"
"Comrade","동료"
"is quite mocking in tone","꽤 조롱하는 어조다"
"'s onslaught","의 맹공격"
"geography:form:atlas","지리:양식:아틀라스"
"I'm very lonely.","나는 매우 외롭다."
"active performance poem reciter","활동적인 시 낭송자"
"has high cheekbones","광대뼈가 높다"
"philosophy:specialized:politics social welfare","철학:전문:정치 사회 복지"
"a noted flatterer","저명한 아첨꾼"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]구역[C:7:0:0]은 [C:6:0:]저장소[C:7:0:0]와 매우 유사하게 배치됩니다. "
"Mandate period (more = fewer)","위임 기간 (더 많음 = 더 적음)"
"Cirrus","새털구름"
"Nonsense","무의미한 말"
"mathematics:geometry:pythagorean triples small","수학:기하학:피타고라스 3배 작음"
"the construction and use of the flask","플라스크의 구조와 사용"
" Floor Grate"," 바닥 창살"
"greedier","더 탐욕스럽다"
"a theft","절도"
"Resourcefulness","지략"
"the enactment of a series of oppressive laws","일련의 억압적인 법률 제정"
"medicine:theory:disease classification","의학:이론:질병 분류"
"the struggle for survival","생존을 위한 투쟁"
"the construction and use of the astrarium","아스트라리움의 건설과 사용"
"ladies","숙녀"
"profaned","모독"
"has a large body but is incredibly skinny","몸집은 크지만 엄청나게 말랐다."
"is lanky and frail","가냘프고 연약하다"
" boldly, even if it would offend an average sense of modesty"," 대담하게, 비록 그것이 평균적인 겸손함을 상하게 할지라도"
"That's suspicious!","그것 참 수상하군!"
"has an extremely broad body with lots of fat on it","지방이 많은 매우 넓은 몸을 가지고 있습니다."
"Dirt Road","흙길"
"the causes of historical events","역사적 사건의 원인"
"Give me a break.","잠시만요."
"Cloth Workshop","옷 작업장"
"d strongly favored","d 강력히 선호"
"the taming of the ","의 길들이기 "
"Engravers","조각사"
"grieved","슬픔에 빠졌다"
" partially free of the web."," 웹에서 부분적으로 무료입니다."
" mounts "," 탔다 "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","CREATURE_CASTE_GRAPHICS 생물 계급을 찾지 못했습니다. "
"Traits","특성"
" to live a life of adventure"," 모험의 삶을 살기 위해"
"gets distracted from conversations easily when ","다음과 같은 경우 대화에서 쉽게 산만해집니다. "
" weapons"," 무기"
" superiorly designed"," 우수하게 설계된"
"Move keyboard cursor down (z)","키보드 커서를 아래로 이동(z)"
"I'm not worried.","나는 걱정하지 않아요."
"great creativity","훌륭한 창의성"
"gave food","음식을 주었다"
"a castle wall","성벽"
"Some time spent in reflection is admirable, but you must not forget to live your life.","자기 스스로를 돌아보는 시간을 갖는것도 정말 멋지지만, 인생을 살아가는걸 잊어선 안돼."
"the notion of bonds between members of a community","커뮤니티 구성원 간의 유대 개념"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","이곳에서 노포나 투석기 구성물, 그리고 대형 화살을 만듭니다 "
"legendary bully","전설적인 깡패"
"has a small build and is very weak and incredibly skinny","체격이 작고 매우 약하고 믿을 수 없을 정도로 말랐습니다."
"Pike","단창"
"being rescued","구조되고 있다"
"superior quality ","우수한 품질 "
"being forced to endure the decay of an acquaintance","지인의 쇠퇴를 억지로 참아내다"
"The victory was shared by ","승리는 다음과 같이 공유되었습니다. "
"extremely low","매우 낮음"
" talents and accomplishments"," 재능과 업적"
"the Secret","비밀"
"dream","꿈"
"item was favorite possession","아이템은 가장 좋아하는 소유물이었습니다"
"You conclude your performance.","당신은 공연을 마친다."
" told the story of "," 의 이야기를 했다 "
"trapped in cage","우리에 갇혀"
"[C:1:0:1]Drowsy","[C:1:0:1]졸림"
"brawler","싸움꾼"
"history:sourcing:role of systemic bias","히스토리:소싱:체계 편향의 역할"
"I realized ","나는 깨달았다 "
", replacing ",", 교체 "
"Workers ignore wood","노동자는 나무를 무시"
" log"," 통나무"
" perpetrated "," 저지른 "
"often lowers ","종종 낮아진다 "
"We are besieged by a terrifying monster from the harshest wilderness.","우리는 가장 혹독한 광야에서 온 무시무시한 괴물에게 포위당했습니다."
"I ate at a crowded table.","붐비는 테이블에서 먹었습니다."
"I feel such sympathy!","나는 그런 동정심을 느낀다!"
"River Source","강 소스"
" needs alcohol to get through the working day"," 일하려면 술이 필요하다"
"Monk","수도사"
" in search of excitement"," 감동을 찾아서"
"began to skulk and brood","살금살금 기어다니기 시작했다"
"No members","회원 없음"
"is very polite and observes appropriate rules of decorum when possible","가능하다면 예의 바르며 적절한 예의 범절을 지킵니다."
"disillusioned","환멸"
"Regions","지역"
" due to "," ~ 때문에 "
"a tribute agreement","공물 협정"
" throughout "," 전역 "
"Disdains commerce","상업을 경멸함"
"st","번째"
"giving somebody food","누군가에게 음식을 주는"
"The musician can alter the pitch of ","음악가는 피치를 변경할 수 있습니다. "
"Carve fortification","조각 요새"
" and the "," 그리고 "
"things...  certain things","그것들... 확실히 그것들"
"Stone/clay","돌/점토"
"Date: ","날짜: "
"""Leave me.  I need... ","""날 가만 놔둬. 내가 필요한 건... "
"Rotten tissue excised from ","썩은 조직 절제 "
"All I see here is not enough.","내가 여기서 보는 것만으로는 충분하지 않습니다."
"Lover of ","애인 "
"stole treasure from","에서 보물을 훔쳤다"
"Predator and Prey","포식자와 먹이"
" masterfully dyed with "," 멋지게 염색한 "
", once of the Underworld.  ",", Underworld 중 한 번. "
", is it really you?",", 정말 당신입니까?"
" own wellbeing, having no interest in material goods"," 자신의 웰빙, 물질적 재화에 관심 없음"
"[C:2:0:1]Spring","[C:2:0:1]봄"
"I must let grief pass me by.","슬픔이 지나가도록 해야 합니다."
"subdued","차분해진"
"regretful","유감스런"
"tetrachord","테트라코드"
"the color ","색깔 "
"  Effective pressure to comply came from co-conspirators surrounding "," 준수하라는 효과적인 압력은 주변의 공모자들로부터 나왔습니다. "
"A great beast threatens to bring ruin upon our people.","거대한 짐승이 우리 백성을 파멸로 몰고 옵니다."
"A snow storm has come.","눈보라가 왔다."
"striking a triumphant pose","승리의 포즈를 취하는"
"Grab Weapon","무기 챙기기"
"feel agitated","동요하다"
"Throwing tantrum","울화통을 터뜨리다"
"gelder","거세꾼"
"would be lanky were it not for the massive muscles and slabs of lard","거대한 근육과 라드 조각이 아니었다면 호리호리했을 것입니다."
" refused an offer of peace from "," 평화의 제안을 거절하다 "
"Site","장소"
" natural aversion to the adversary's inherent association with "," 적의 고유한 연관성에 대한 자연스러운 혐오감 "
"finds those that engage in trade and commerce to be fairly disgusting","무역과 상업에 종사하는 사람들은 상당히 역겹다고 생각합니다."
"the departure of","의 출발"
"Seriously injured","심각한 부상"
"a shockingly profound feel for social relationships","인간 관계의 이해가 깊다"
"Temperate Brackish Pool","온대 소금물 웅덩이"
", where numbers indicate a refrain",", 여기서 숫자는 후렴구를 나타냅니다."
"Master","마스터"
"the distinction between motor and sensory nerves","운동신경과 감각신경의 차이"
" is surprised"," 놀랐다"
"in a circle","원 안에"
"Closed cases","닫힌 케이스"
"It is now summer.","지금은 여름이다."
"not distracted","산만해지지 않다"
"judge","판사"
"parchment-producing ","양피지 생산 "
"be spirited","씩씩하다"
"Failed to install mod:","모드 설치 실패:"
"to make a great discovery","위대한 발견을 하기 위해"
"Battle","전투"
"Nobles and administrators","귀족 및 관리자"
"crystal glass paste","크리스탈 유리 페이스트"
" begins to stalk and brood..."," 스토킹하고 곰곰이 생각하기 시작합니다 ..."
"the belief of","의 믿음"
" first"," 첫 번째"
"These people carrying on about romance should be more practical.","연애를 계속하는 이 사람들은 좀 더 실용적이어야 한다."
"Gather fruit and vegetables from shrubs in this zone.","이 구역의 관목에서 과일과 채소를 채집하십시오."
"swamp","늪"
"the surgical method of scraping","긁어내는 수술 방법"
"unfavorable ","불리한 "
"Inveigh Against ","을/를 비난했다 "
"the state of demands","요구의 상태"
"the Map","지도"
"Move the camera","화면 이동"
"medicine:method:fracture immobilization","의학:방법:골절 고정"
"Visitor cap","방문자 수 제한"
"Siege Engineer","공성기사"
"straight scar.  ","직선 흉터. "
"Mountain: ","산: "
" was the "," 이었다 "
"the Lever","레버"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","우물을 놓아서 시민들이 물을 길을 수 있는 비교적 안전한 공간을 제공합니다. 물 위의 허공에 설치해야 하며, 설치하는 데 기계장치, 벽돌, 사슬 혹은 밧줄, 양동이가 필요합니다."
"Ninth","아홉번째"
"DOOR TAKEN BY INVADERS","! 침입자가 문을 점거함 !"
"Designating items for melting","녹이는 항목 지정"
"can assign and edit the routines your soldiers will follow. ","병사들이 따를 루틴을 지정하고 편집할 수 있습니다. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","일부 주민의 지식에 대한 갈증은 [C:1:0:1]도서관[C:7:0:0]에서 해소할 수 있습니다. "
"refugees calling themselves ","자신을 부르는 난민 "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].사지 골절(견인됨)"
"soap maker","비누 제조공"
" was seen being stolen!"," 도둑맞았다!"
"beat somebody up","누군가를 때리다"
"Carpentry","목공"
"Burial Chamber","묘실"
"Overall, ","전반적으로, "
"a armorsmith's shop","갑옷 제작소"
"Armorsmithing Workshop","방어구장인 작업장"
"a large animal","큰 동물"
"Already interviewed","이미 인터뷰"
"It has started raining.","비가 내리기 시작한다."
"Will Tell","말할 것이다"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","식물 채집 순서를 설정합니다. 어떤 식물들은 과일이나 다른 식물들이 있어야 한다."
"One must always carefully consider the correct course of action.","누군가는 올바른 행동 방침을 항상 신중하게 고려해야 합니다."
", but they had nothing left to give",", 그러나 그들은 줄 것이 아무것도 남지 않았습니다"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","어쩌면 그들은 모두 당신이 일궈놓은 웅장한 요새를 떠나기를 거부하고 이곳에 계속 남을 수도 있을겁니다. "
"melted.","녹은"
"history:sourcing:role of state bias and propaganda","역사:소싱:국가 편견과 선전의 역할"
" a mesmerizing tale!"," 매혹적인 이야기!"
"stonecutter","석수장이"
" boxes"," 상자"
"Unnamed tomb","이름 없는 무덤"
"-line stanza","-라인 스탠자"
"death","죽음"
" spin"," 회전"
"an empty population","빈 인구"
"to smooth the operation of ","원활한 운영을 위해 "
"Seek Dressing Cloth","드레싱 천 찾기"
"It's very interesting.","이것은 매우 흥미 롭다."
"a poor","불쌍한"
"finds eloquence and artful speech off-putting","웅변과 교묘한 말투가 불쾌감을 준다"
"jutting-chin","돌출 턱"
"Camera controls","카메라 컨트롤"
"paper-slurry ","종이 슬러리 "
"urging love between ","사이에 사랑을 촉구 "
"be used for burial.","매장용으로 사용."
"screw ","나사 "
"The dead!","죽은!"
"boulder graphics","볼더 그래픽"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","대상의 성격을 비교 대조하여 역사에 대한 통찰력을 얻기 위해 여러 전기를 편찬하는 방법"
"sees working hard as a foolish waste of time","어리석은 시간 낭비로 열심히 일하고있다."
"Buried alive","생매장"
"Unmet need: ","충족되지 않은 욕구: "
"This nameless being","이 이름 없는 존재"
"Only farmers harvest","농부들만 수확"
"molten crystal glass","녹은 크리스탈 유리"
"speaks in a monotone when ","단조롭게 말할 때 "
"Resets","재설정"
"the Mausoleum","영묘"
"the classification of disease","질병의 분류"
"High Precision","높은 정밀도"
"the reproductive behavior of creatures","생물의 번식 행동"
"spear","창"
"Loading image sets...","이미지 세트 로드 중..."
"Value of temple complex","사원 단지의 가치"
"Workers save shells","노동자들은 껍질을 저장"
"when full","꽉 찼을 때"
"Site Map:  Extra Item Occupancy ","사이트 맵: 추가 항목 점유 "
" was the place to perform research."," 은/는 연구를 하는 장소였소."
"Bowyer","조궁장"
"Take me away from here.","나를 여기서 데려가."
"outside","밖에"
"legendary villain","전설적인 악당"
"Tropical Shrubland","열대 관목지"
"the acceptance","수락"
"The story of ","의 이야기 "
"the Assumption","가정"
" which was said to permeate "," 스며들었다고 한다. "
", Pressed",", 누름"
" with the presentation of "," 의 발표와 함께 "
"Yes!  It'll be great to perform with you.","예! "
"is very muscular and incredibly long","매우 근육질이고 엄청나게 길다"
"Dungeon Commander","던전 커맨더"
" a friend."," 친구."
"after communing with ","~와 소통한 뒤에 "
"What stories you tell!  It's such an honor to have you here.","당신이 말하는 이야기! "
"modulates frequently","자주 변조"
" neck bowl"," 목 그릇"
" available"," 사용 가능"
"Open","열린"
"gives a feeling of compassion here and there","여기 저기 연민의 느낌을 준다"
"Civilized World Population","문명화된 세계 인구"
"Workers dump bones","노동자는 뼈를 덤프"
"yarn ","실 "
"Analogy","유추"
"A wrestling competition","레슬링 대회"
"The instrument has flue pipes and reed pipes.  ","악기에는 연도 파이프와 리드 파이프가 있습니다. "
"I was in a snow storm.","나는 눈보라 속에 있었다."
" property was confiscated"," 재산이 압수당했다"
"Geld ","세금 "
"Somebody up to no good...","좋지 않은 사람..."
"medicine:method:surgery incision","의학:방법:수술 절개"
"It is still shrouded in mystery.  ","여전히 수수께끼에 휩싸여 있다. "
"worship","숭배"
"the Duel","결투"
"I brought up the lack of jobs in a meeting.","나는 회의에서 일자리 부족을 꺼냈다."
"Crossbowman","석궁병"
"prefers to present ","제시하는 것을 선호 "
" been stunned again!"," 또 기절했다!"
"Cage Vermin","케이지 해충"
"I killed somebody in a sparring accident.","나는 스파링 사고로 누군가를 죽였습니다."
"I have been so wronged!","나는 너무 잘못되었습니다!"
"has a long, thin body with very little fat","지방이 거의 없는 길고 가는 몸을 가지고 있습니다."
" shot and killed "," 총에 맞아 죽었다 "
"Austere","소박함"
" fighting with "," ~와 싸우는 "
"It is a","이것은"
" (quantitative "," (정량적 "
"iguana","이구아나"
"the area around ","주변 지역 "
"Balancing","밸런싱"
"has a short, broad body with very little fat","지방이 거의 없는 짧고 넓은 체형"
"mottled ","얼룩덜룩한 "
"autobiography","자서전"
"Choose Y: ","Y를 선택하십시오: "
"the use of a grid system in the creation of maps","지도 생성에 그리드 시스템 사용"
"believes that those that take leisure time are evil and finds the whole idea disgusting","여가시간을 즐기는 사람들은 사악하다고 믿고 여가시간을 혐오스럽다고 믿는다"
"2 lost after mutual wounds","상호 상처 후 2 손실"
"Perfectionist","완벽주의자"
" was offered"," 제안되었다"
"Cannot generate random creatures -- missing body ","임의의 생물을 생성할 수 없음 -- 누락된 몸체 "
" is written from the perspective of "," 의 관점에서 쓰여진다. "
"Lever Operation","레버 작동"
"a barrow","손수레"
"Skill 5","스킬 5"
"distracted by unmet needs","필요가 충족되지 않아서 산만해졌다"
"Plant gatherers","채집꾼"
"The selected workshop will give items to here.","선정된 공방은 이곳에 아이템을 지급합니다."
"less assertive","덜 단호한"
"It was great.","그것은 훌륭했다."
" part of the problem."," 문제의 일부."
"fragile","부서지기 쉬운"
"Assign uniform","유니폼 배정"
"dining hall","식당"
"No orders","명령 없음"
"the computation of the volume of different pyramids","다른 피라미드의 부피 계산"
"Absolute zero","절대영도"
"right here","바로 여기에"
"Storage path decrease (barrel combine)","저장 경로 감소(배럴 조합)"
"a noted murderer","저명한 살인자"
" Ice Floor"," 얼음 바닥"
"Insanity","광기"
"Close friend","절친"
"Toggle whether the squad will sleep here.","분대가 여기서 잠을 잘지 여부를 전환합니다."
"Just think about it.","생각 해보세요."
" Upward Track (SEW)"," 상향 트랙(SEW)"
"losing ","지는 "
"Amount of ","금액 "
"short","짧은"
"a pretty decent meal","꽤 괜찮은 식사"
"be jumpy","불안해하다"
"time","시각"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","각 트랙 정거장은 광산 수레에 아이템을 넣거나 뺄 수 있는 아이템 창고에 연결되어 있어야 합니다."
"Initiation","개시"
"Glowing Floor","빛나는 바닥"
"being frozen solid","얼어붙은 고체"
"jewels","보석"
"Z Levels Above Ground","지면 위의 Z 레벨"
"Sand Collection","샌드 컬렉션"
"fighting!","화이팅!"
"Loading flow guides...","흐름 가이드 로드 중..."
"Burned up in magma","마그마에 타다"
"How fleeting life is...","인생이 얼마나 덧없는지..."
"slayer in incident","사건의 살인자"
