"major","comandante"
" empties "," vac¡os "
" pick up "," recoger "
" picks up "," recoge "
" embraces "," abraza "
"pushes","empuja"
" has shared many tales from beyond "," ha compartido muchas historias del m s all  "
" has shared a few rumors."," ha compartido unos cuantos rumores."
" has shared a rumor from abroad."," ha compartido un rumor del extranjero."
" gives you "," te da "
" has discovered "," ha descubierto "
" has become a student of "," se ha convertido en el estudiante de "
"twenty thousand","veinte mil"
"Ponder ","Reflexionar "
"Learn ","Aprender "
"Teach ","Ense¤ar "
"Discuss ","Discutir "
"Read","Leer"
"Write","Escribir"
"Write about ","Escribir sobre "
"Copy","Clon"
"Meditate on ","Meditar sobre "
"Pray to ","Rezar a "
"Go to Combat Training","Ir al entrenamiento de combate"
"Organize Combat Training","Organizar un entrenamiento de combate"
"Lead Combat Training","Dirigir entrenamiento"
"Wait for Combat Training","Esperar el entrenamiento de combate"
"Play Make Believe","Fantasear"
"Play with ","Jugar con "
"Toy","Juguete"
"Inveigh Against ","Objeta contra "
"Promote ","Ascender "
"Law","Ley"
"Loyalty","Lealtad"
"Family","Familia"
"Friendship","Amistad"
"Power","Poder"
"Truth","Verdad"
"Cunning","Astucia"
"Eloquence","Labia"
"Fairness","Equidad"
"Decorum","Decoro"
"Tradition","Tradici¢n"
"Artwork","Obra de arte"
"Cooperation","Cooperaci¢n"
"Independence","Independencia"
"Stoicism","Estoicismo"
"Introspection","Introspecci¢n"
"Self-Control","Autocontrol"
"Tranquility","Tranquilidad"
"Harmony","Armon¡a"
"Merriment","Alegr¡a"
"Craftsmanship","Artesan¡a"
"Martial Prowess","Habilidad en combate"
"Skill","Dones"
"Hard Work","Trabajo duro"
"Sacrifice","Sacrificio"
"Competition","Competencia"
"Perseverance","Perseverancia"
"Leisure Time","Tiempo libre"
"Commerce","Comercio"
"Nature","Naturaleza"
"Peace","Paz"
"Knowledge","Conocimiento"
"Preach on ","Predicar sobre "
"Listen to Sermon","Escuchar serm¢n"
"Tell Story","Contar una historia"
"Listen to Story","Escuchar historia"
"Listen to Poetry","Escuchar recital"
"Play ","Jugar "
"Simulate ","Simular "
"Sing","Cantar"
"Chant","Cantar"
"Recite Poetry","Recitar poes¡a"
"Perform Music","Tocar m£sica"
"Listen to Music","Escuchar m£sica"
"Perform Dance","Realizar una danza"
"Watch Dance","Mirar danza"
"Go to ","Ir a "
" Demonstration"," Demostraci¢n"
"Lead ","Dirigir "
"Organize ","Organizar "
"Watch ","Mirar "
"Wait for ","Esperar por "
"Serve Customer","Atender clientes"
"Serve ","Servir "
"Go to Individual Combat Drill","Ir al entrenamiento de combate individual"
"Individual Combat Drill","Entrenamiento de combate individual"
"/Resting","/Descanso"
"Go to Sparring Match","Ir a sesi¢n de sparring"
"Spar","Sparring"
"Go to Sparring Practice","Ir a pr ctica de sparring"
"Watch Sparring Practice","Ver pr ctica de sparring"
"Archery Practice","Pr ctica de arquer¡a"
"You cannot perform here.","No puedes hacer eso aqu¡."
"You could not find a partner.","No encontraste un compa¤ero."
"There are not enough dancers.","No hay suficientes bailarines."
"There is not enough room to perform here.","No hay suficiente espacio en esta habitacion."
"You","Tu"
"Some children","Algunos ni¤os"
"is","es/esta"
"are","son"
"begins","empieza"
"begin","empezar"
" playing make believe."," jugando a rolear"
" playing with "," jugando con "
"a toy","un juguete"
"The performers","Los artistas"
"a sermon on ","un serm¢n sobre "
"the story of ","La historia de "
"reciting the poem ","recitando el poema "
"an improvised recital of ","un recital improvisado de "
"the musical composition ","la composicion musical "
"improvised music, ","musica improvisada, "
"dancing ","baile "
"an improvised dance, ","un baile improvisado, "
" in the middle of "," en el medio de "
"You continue the sermon.","Contin£as el serm¢n."
"The sermon continues.","El serm¢n contin£a."
"You continue the story.","Contin£as la historia."
"The story continues.","La historia contin£a."
"You begin","Tu empiezas"
"The poetry enters","La poes¡a entra"
"the ","el "
" line."," l¡nea."
"the verse paragraph","el p rrafo del verso"
" verse paragraph"," el p rrafo del verso"
"the stanza","la estrofa"
" stanza"," estrofa"
"You continue the poem.","Contin£as el poema."
"The poem continues.","El poema contin£a."
"You enter ","Tu entras "
"The dance enters a new section with ","La danza entra en un nuevo tramo con "
"The music enters ","la musica entra "
"a simple passage","un pasaje sencillo"
"the introduction","la introducci¢n"
"the exposition","la exposici¢n"
" of the theme"," del tema"
" of the first theme"," del primer tema"
" of the second theme"," del segundo tema"
" of the previous passage"," del pasaje anterior"
"a recapitulation","una recapitulaci¢n"
"the synthesis","la s¡ntesis"
" of the two themes"," de los dos temas"
" of previous passages"," de pasajes anteriores"
"a verse","un verso"
"a chorus","un coro"
"the finale","el final"
"the coda","la coda"
"a bridge-passage","un puente-pasaje"
"first ","primero "
"second ","segundo "
"theme","tema"
"a series of variations","una serie de variaciones"
" on the theme"," en el tema"
" on the first theme"," en el primer tema"
" on the second theme"," en el segundo tema"
" and "," y "
"You continue the dance.","Contin£as el baile."
"The dance continues.","El baile contin£a."
"You continue the music.","Contin£as la m£sica."
"The music continues.","La m£sica contin£a."
"Deceased citizens and pets can be laid to rest in a tomb.  It should include a coffin, casket, or sarcophagus.","Los ciudadanos fallecidos y las mascotas pueden descansar en una tumba. Debe incluir un ata£d, ata£d o sarc¢fago."
"You conclude your performance.","Concluyes tu actuaci¢n."
"The performers are finished.","Los artistas est n terminados."
"Some performers finish their act.","Algunos artistas terminan su acto."
" has finished performing."," ha terminado de actuar."
" concludes a performance."," concluye una actuaci¢n."
"You've learned ","Has aprendido "
"You feel like you know the basic rules of ","Sientes que conoces las reglas b sicas de "
" now."," ahora."
"Your","Su"
"'s","eres"
" lay"," poner"
" forth an awe-inspiring sermon for the ages!"," adelante un serm¢n inspirador de temor para las edades!"
" artfully deliver"," entregar ingeniosamente"
" a lucid and powerful sermon."," un serm¢n l£cido y poderoso."
" giving a creditable sermon."," dando un serm¢n digno de cr‚dito."
" just can't give a sermon very well."," simplemente no puedo dar un serm¢n muy bien."
" dance"," bailar"
" flawlessly, like someone out of a legend!"," impecablemente, ­C¢mo alguien salido de una leyenda!"
" dancing exceptionally."," bailando excepcionalmente."
" dancing well."," bailando bien"
" get"," conseguir"
" tangled up."," enredado."
" and the "," y el "
" are indistinguishable!"," son indistinguibles!"
"instrument","instrumento"
" delivering a virtuoso performance on the "," brindando una actuaci¢n virtuosa en el "
" is absolutely flawless."," Es absolutamente perfecto."
"chant","corear"
"song","canci¢n"
" could nearly pass for the voice of the "," casi podr¡a pasar por la voz del "
" play"," jugar"
" the "," el "
" with skill."," con talento."
"sing","canci¢n"
" beautifully."," hermosamente"
" sound"," sonido"
" vaguely like the intended "," vagamente como el previsto "
" playing the "," jugando al "
" well."," BIen"
"chanting","cantos"
"singing","cantando"
" make"," hacer"
" a mockery of the "," una burla al "
" with a shameworthy performance."," con una actuaci¢n lamentable."
"doesn't","no lo hace"
"don't","no"
" seem to know how to play the "," parecen saber tocar el "
" sloppily"," descuidadamente"
" and even forget"," e incluso olvidar"
" some of the words."," algunas palabras."
" bring"," traiga"
" the poem to life with this flawless recitation."," el poema a la vida con esta recitaci¢n impecable."
" choose"," elige"
" the perfect phrasing."," la frase perfecta."
" recite"," recite"
" the words evocatively."," las palabras evocativamente."
" enunciate"," enunciar"
" crisply."," n¡tidamente."
" speak"," hablar"
" mumble"," murmurar"
", having completely forgotten the words.","habiendo olvidado completamente las palabras."
" poorly."," pobremente"
" weave"," tejer"
" a mesmerizing tale!"," ­un cuento fascinante!"
" tell"," Dile"
" the story in vivid detail."," la historia con todo lujo de detalles."
" telling the tale quite well."," narrando la historia bastante bien."
" stumble"," tropezar"
" over the details."," sobre los detalles."
"It has no writing.","No tiene escritura."
"The pages are blank.","Las p ginas est n en blanco."
"It has no pages.","No tiene p ginas."
"gila monster","monstruo de gila"
"Reputation:","Reputaci¢n:"
"legendary hero","h‚roe legendario"
"famous hero","h‚roe famoso"
"hero","h‚roe"
"greatly respected for heroic acts","muy respetado por actos her¢icos"
"respected for heroic acts","respetado por actos her¢icos"
"legendary training partner","compa¤ero de entrenamiento legendario"
"famous training partner","compa¤ero de entrenamiento famoso"
"noted training partner","compa¤ero de entrenamiento de renombre"
"training partner","compa¤ero de entrenamiento "
"dabbling training partner","compa¤ero de entrenamiento novato"
"legendary brawler","luchador legendario"
"famous brawler","luchador famoso"
"noted brawler","luchador renombrado"
"known brawler","luchador conocido"
"rumored brawler","luchador rumoreado"
"legendary villain","villano legendario"
"infamous villain","villano infame"
"noted villain","villano renombrado"
"known villain","villano conocido"
"rumored villain","villano rumoreado"
"legendary trade partner","compa¤ero comerciante legendario"
"famous trade partner","compa¤ero de intercambio famoso"
"noted trade partner","compa¤ero de intercambio de renombre"
"trade partner","socio comercial"
"dabbling trade partner","compa¤ero de intercambio novato"
"legendarily polite","legendariamente educado"
"famously polite","famosamente educado"
"notably polite","notablemente educado"
"polite","educado"
"possibly polite","posiblemente educado"
"legendary killer","asesino legendario"
"infamous killer","asesino infame"
"noted killer","asesino renombrado"
"known killer","asesino conocido"
"rumored killer","asesino rumoreado"
"legendary murderer","homicida legendario"
"infamous murderer","homicida infame"
"noted murderer","homicida renombrado"
"known murderer","Homicida conocido"
"rumored murderer","homicida rumoreado"
"legendary comrade","camarada legendario"
"famous comrade","camarada famoso"
"noted comrade","camarada de renombre"
"comrade","camarada"
"possible comrade","posible camarada"
"legendary ally","aliado legendario"
"famous ally","aliado famoso"
"noted ally","aliado de renombre"
"known ally","aliado conocido"
"rumored ally","aliado rumoreado"
"legendary enemy","enemigo legendario"
"infamous enemy","enemigo infame"
"noted enemy","enemigo de renombre"
"known enemy","enemigo conocido"
"rumored enemy","enemigo rumoreado"
"legendary enemy fighter","combatiente enemigo legendario"
"infamous enemy fighter","combatiente enemigo infame"
"noted enemy fighter","combatiente enemigo renombrado"
"known enemy fighter","combatiente enemigo conocido"
"rumored enemy fighter","combatiente enemigo rumoreado"
"legendary fighter","combatiente legendario"
"famous fighter","combatiente famoso"
"noted fighter","combatiente renombrado"
"known fighter","combatiente conocido"
"rumored fighter","combatiente rumoreado"
"legendary bully","mat¢n legendario"
"infamous bully","mat¢n infame"
"noted bully","mat¢n renombrado"
"known bully","mat¢n conocido"
"rumored bully","mat¢n rumoreado"
"legendary brigand","bandolero legendario"
"infamous brigand","bandolero infame"
"noted brigand","bandolero renombrado"
"known brigand","bandolero conocido"
"rumored brigand","bandolero rumoreado"
"legendary loyal soldier","soldado leal legendario"
"famous loyal soldier","soldado leal famoso"
"noted loyal soldier","soldado leal renombrado"
"known loyal soldier","soldado leal conocido"
"rumored loyal soldier","soldado leal rumoreado"
"legendary monster","monstruo legendario"
"infamous monster","monstruo infame"
"noted monster","monstruo renombrado"
"known monster","moustro conocido"
"rumored monster","monstruo rumoreado"
"legendary storyteller","narrador legendario"
"famous storyteller","narrador famoso"
"noted storyteller","narrador de renombre"
"known storyteller","narrador conocido"
"rumored storyteller","narrador rumoreado"
"legendary poet","poeta legendario"
"famous poet","poeta famoso"
"noted poet","poeta de renombre"
"known poet","poeta conocido"
"rumored poet","poeta rumoreado"
"legendary bard","bardo legendario"
"famous bard","bardo famoso"
"noted bard","bardo de renombre"
"known bard","bardo conocido"
"rumored bard","bardo rumoreado"
"legendary dancer","bailar¡n legendario"
"famous dancer","bailar¡n famoso"
"noted dancer","bailar¡n de renombre"
"known dancer","bailar¡n conocido"
"rumored dancer","bailar¡n rumoreado"
"legendary quarreler","pendenciero legendario"
"infamous quarreler","pendenciero infame"
"noted quarreler","pendenciero de renombre"
"known quarreler","pendenciero conocido"
"rumored quarreler","pendenciero rumoreado"
"legendary flatterer","adulador legendario"
"infamous flatterer","adulador infame"
"noted flatterer","adulador de renombre"
"known flatterer","adulador conocido"
"rumored flatterer","adulador rumoreado"
"legendary hunter","cazador legendario"
"great hunter","gran cazador"
"talented hunter","cazador talentoso"
"skilled hunter","cazador h bil"
"rumored hunter","cazador rumoreado"
"legendary protector of the weak","protector de los d‚biles legendario"
"famous protector of the weak","protector de los d‚biles famoso"
"noted protector of the weak","protector de los d‚biles renombrado"
"known protector of the weak","conocido defensor de los d‚biles"
"rumored protector of the weak","protector de los d‚biles rumoreado"
"legendary treasure hunter","cazador de tesoros legendario"
"famous treasure hunter","cazador de tesoros famoso"
"noted treasure hunter","cazador de tesoros renombrado"
"known treasure hunter","cazador de tesoros conocido"
"rumored treasure hunter","cazador de tesoros rumoreado"
"legendary thief","ladr¢n legendario"
"infamous thief","ladr¢n infame"
"noted thief","ladr¢n renombrado"
"known thief","ladr¢n conocido"
"rumored thief","ladr¢n rumoreado"
"legendary information source","fuente de informaci¢n legendaria"
"infamous information source","fuente de informaci¢n infame"
"noted information source","fuente de informaci¢n de renombre"
"known information source","fuente de informaci¢n conocida"
"rumored information source","fuente de informaci¢n rumoreada"
"legendary preserver of knowledge","preservador de conocimiento legendario"
"famous preserver of knowledge","preservador de conocimiento famoso"
"noted preserver of knowledge","preservador de conocimiento renombrado"
"known preserver of knowledge","preservador de conocimiento conocido"
"rumored preserver of knowledge","preservador de conocimiento rumoreado"
"legendary intruder","intruso legendario"
"infamous intruder","intruso infame"
"noted intruder","intruso renombrado"
"known intruder","intruso conocido"
"rumored intruder","intruso rumoreado"
"legendary preacher","predicador legendario"
"infamous preacher","predicador infame"
"noted preacher","predicador de renombre"
"known preacher","predicador conocido"
"rumored preacher","predicador rumoreado"
"Unknown","Desconocido"
"Agreements","Acuerdos"
"Events","Eventos"
"People","Gente"
"Sites","Sitios"
"Groups","grupos"
"Regions","Regiones"
"Bestiary","Bestiario"
"Artifacts","Artefactos"
"Intrigue","Intriga"
"Plots","Parcelas"
"Organizations","Organizaciones"
"Actors","Actores"
"Centered on first heard","Centrado en lo primero que se escuch¢"
"Centered on last heard","Centrado en lo ultimo que se escuch¢"
"Centered on location","Centrado en la ubicaci¢n"
"Overthrow Agreement","Acuerdo de derrocamiento"
"Guide Agreement","Acuerdo de gu¡a"
"Rescue Agreement","Acuerdo de rescate"
"Aid Rescue Agreement","Acuerdo de Rescate y Asistencia"
"Adventuring Agreement","Acuerdo de Aventuras"
"Bound Servitude","Servidumbre Forzada"
"Entertainment Agreement","Acuerdo de Entretenimiento"
"World Joining Agreement","Acuerdo de uni¢n mundial"
"Residency Agreement","Acuerdo de residencia"
"Grant of Citizenship","Concesi¢n de ciudadan¡a"
"Parley Arrangement","Acuerdo de parlamento"
"Corruption","Corrupci¢n"
"Artifact Theft","Robo de artefacto"
"Promise of Position","Promesa de posici¢n"
"Assassination Plot","Complot de asesinato"
"Abduction Plot","Trama de abducci¢n"
"Sabotage Plot","Complot de sabotaje"
"Infiltration Plot","Trama de infiltraci¢n"
"Framing Plot","Trama de encuadre"
"War Starting Plot","Trama de inicio de guerra"
"Foiled Embezzlement Conspiracy","Conspiraci¢n de malversaci¢n de fondos frustrada"
"Foiled Corruption Conspiracy","Conspiraci¢n de corrupci¢n frustrada"
"Foiled Bribery Conspiracy","Conspiraci¢n de soborno frustrada"
"Build Structure","Estructura de construcci¢n"
"Offer Service","Ofrecer Servicio"
"Retrieve Artifact","Artefacto recuperado"
"asked that","pregunto eso"
"you","t£"
"retrieve","recuperar"
"from","desde"
"for","por"
"Drive members of","Motivar a los miembros de"
"out of","fuera de"
"requested that","pidi¢ que"
"make an offer of service to","hacer una oferta de servicio a"
"agreed to join","Acept¢ unirse"
"in insurrection against","en insurrecci¢n contra"
"thereby freeing","liberando as¡"
"agreed to guide","Acept¢ guiar"
"to","hasta"
"somebody unknown","alguien desconocido"
"in order to be brought safely away from","con el fin de ser llevado a salvo desde"
"in order to rescue","con el fin de rescatar"
"agreed to adventure with"," acept¢ embarcarse en una aventura con"
"wherever the journey might lead"," dondequiera que lleve el viaje"
"was bound to serve","estaba obligado a servir"
"by invocation of True Name","mediante la invocaci¢n del Nombre Verdadero"
"agreed to entertain people with","acept¢ entretener a las personas con"
"throughout the world","A lo largo del mundo"
"Agreement concluded","Acuerdo concluido"
"st","ro"
"nd","do"
"rd","ro"
"Kill","Matar"
"Cause trouble for","Causar problemas a"
"Drive","Impulsar"
"An order from","Una orden de"
"Finish reporting in","Termina de informar en"
"Complete: report back","Completo: informa de nuevo"
"Not yet completed","Aun no completado"
"retrieve ","recuperar "
"serve ","atender "
"Centered on commander","Centrado en el comandante"
"Centered on target","Centra en objetivo"
"Org: ","Org: "
"One member","Un miembro"
" members"," miembros"
" Showing important"," Mostrar importante"
" Showing all"," Mostrar todo"
": Toggle line",": Alternar l¡nea"
"dark","oscuro"
"This site is the capital of ","Este sitio es la capital de "
"This site is a fortress of ","Este sitio es una fortaleza de "
"This site is controlled by ","Este sitio est  controlado por "
"Civilization","Civilizaci¢n"
"Site Government","Gobierno del sitio"
"Vessel Crew","Tripulaci¢n del barco"
"Migrating Group","Grupo migratorio"
"Nomadic Group","Grupo n¢mada"
"Religion","Religi¢n"
"Military Organization","Organizaci¢n militar"
"Outcast","Proscrito"
"Performance Troupe","Tropa de rendimiento"
"Merchant Company","Empresa mercantil"
"Craft Guild","Gremio de artesanos"
", Dead",", muerto"
"Enemy","enemigo"
"Prisoner","Prisionero"
"Former ","creador-conformador "
"member","miembro"
"mercenary","mercenario"
"slave","esclavo"
"prisoner","prisionero"
"Devoted","Devoto"
"Loyal","Leal"
"Aligned","Alineado"
"Affiliated","Afiliado"
"Associated","Asociado"
" member"," miembro"
" mercenary"," mercenario"
" slave"," esclavo"
"Mountain","Monta¤a"
"Mangrove Swamp","Manglar"
"Taiga","Bosque Boreal"
"Glacier","Glaciar"
"Temperate Freshwater Swamp","Pantano Templado de Agua Dulce "
"Temperate Saltwater Swamp","Pantano Tempaldo de Agua Salada"
"Temperate Freshwater Marsh","Marisma Templada de Agua Dulce"
"Temperate Saltwater Marsh","Marisma Templada de Agua Salada"
"Tropical Freshwater Swamp","Pantano Tropical de Agua Dulce"
"Tropical Saltwater Swamp","Pantano Tropical de Agua Salada"
"Tropical Freshwater Marsh","Marisma Tropical de Agua Dulce"
"Tropical Saltwater Marsh","Marisma Tropical de Agua Salada "
"Temperate Coniferous Forest","Bosque templado de con¡feras"
"Temperate Broadleaf Forest","Bosque Seco Templado"
"Tropical Coniferous Forest","Bosque Tropical de Con¡feras "
"Tropical Dry Broadleaf Forest","Bosque Tropical Seco Latifoliado"
"Tropical Moist Broadleaf Forest","Bosque tropical h£medo de hoja ancha"
"Temperate Grassland","Praderas Templadas"
"Temperate Savanna","Sabana Templada"
"Temperate Shrubland","Matorral Templado"
"Tropical Grassland","Pradera Tropical"
"Tropical Savanna","Sabana Tropical"
"Tropical Shrubland","Matorral Tropical"
"Badlands","P ramos"
"Rocky Wasteland","Bald¡o Rocoso"
"Sand Desert","Desierto de Arena"
"Tropical Ocean","Oc‚ano Tropical"
"Temperate Ocean","Oc‚ano Templado"
"Arctic Ocean","Oc‚ano µrtico"
"Temperate Freshwater Pool","Estanque de Agua Dulce Templada"
"Temperate Brackish Pool","Estanque Templado de Agua Salobre"
"Temperate Saltwater Pool","Estanque Templado de Agua Salada"
"Tropical Freshwater Pool","Estanque Tropical de Agua Dulce"
"Tropical Brackish Pool","Estanque Tropical de Agua Salobre"
"Tropical Saltwater Pool","Estanque Tropical de Agua Salada"
"Temperate Freshwater Lake","Lago Templado de Agua Dulce"
"Temperate Brackish Lake","Lago Templado de Agua Salobre"
"Temperate Saltwater Lake","Lago Templado de Agua Salada"
"Tropical Freshwater Lake","Lago Tropical de Agua Dulce"
"Tropical Brackish Lake","Lago Tropical de Agua Salobre"
"Tropical Saltwater Lake","Lago Tropical de Agua Salada "
"Temperate Freshwater River","R¡o Templado de Agua Dulce"
"Temperate Brackish River","R¡o Templado de Agua Salobre"
"Temperate Saltwater River","R¡o Templado de Agua Salada"
"Tropical Freshwater River","R¡o Tropical de Agua Dulce"
"Tropical Brackish River","R¡o Tropical de Agua Salobre"
"Tropical Saltwater River","R¡o Tropical de Agua Salada"
"Subterranean Water","Agua Subterr nea"
"Subterranean Chasm","Abismo Subterr neo"
"Subterranean Magma","Magma Subterr neo"
"It is traditionally thought to be ","Tradicionalmente se piensa que es "
"It was last seen ","Fue visto por £ltima vez "
"It was last rumored to be ","Se rumore¢ por £ltima vez que era "
"held by ","mantenido por "
" in "," en "
"in ","en "
"the Underworld","el Inframundo"
"the magma sea","el mar de magma"
"the depths of the world","las profundidades del mundo"
"an unknown underground region","una regi¢n subterranea desconocida"
"Alias: ","Alias: "
"Highest known in organization","El m s conocido de la organizaci¢n"
"Associated Organization: ","Organizaci¢n asociada: "
"Associated Plot: ","Parcela asociada: "
"Died in the year ","Muri¢ en el a¤o "
" deity"," deidad"
"Force","Forzar"
"This person is one of the ","Esta persona es una de las "
" of "," en "
" and your military subordinate"," y tu subordinado militar"
" alongside you"," junto a ti"
"This person is ","Esta persona es "
"The Dirt","La suciedad"
" and your military commander"," y tu comandante militar"
"Mourn","Lamento"
"You have known this person your entire life.","Conoces a esta persona de toda tu vida."
"You have known this person since ","Conoces a esta persona desde "
" birth."," nacimiento."
"You have known each other your entire lives.","Se conocen de toda la vida."
"You last spoke ","Hablaste por £ltima vez "
"You have heard this name suggested as a potential guide to faraway places.","Habr s o¡do sugerir este nombre como posible gu¡a a lugares lejanos."
"You worship this figure.","Adoras esta figura."
"  You are beloved."," Eres amado."
"  You are held in high regard."," Eres muy respetado."
"  You are held in some esteem."," Se te tiene en cierta estima."
"  You have been favorably noticed."," Has sido notado/a favorablemente."
"  You have attracted some positive interest."," Ha atra¡do alg£n inter‚s positivo."
"This is your lover.","Este es tu amante."
"Fidelity","Fidelidad"
"This is your prisoner.","Este es tu prisionero."
"This is your jailor.","Este es tu carcelero."
"This is your master.","Este es tu maestro."
"This is your apprentice.","Este es tu aprendiz."
"Healing","Curaci¢n"
"This is your traveling companion.","Este es tu compa¤ero de viaje."
"This is your former master.","Este es tu antiguo maestro."
"This is your former apprentice.","Este es tu antiguo aprendiz."
"This is your owner.","Este es tu due¤o."
"This is your former spouse.","Este es su ex c¢nyuge."
"This is your deceased spouse.","Este es su c¢nyuge fallecido."
"This is your ","Este es tu "
"You have recently encountered one of these creatures.","Recientemente te has encontrado con una de estas criaturas."
"You have encountered these creatures in the past but not recently.","Te has encontrado con estas criaturas en el pasado, pero no recientemente."
"You have only heard tell of these creatures.","S¢lo has o¡do hablar de estas criaturas."
"You have killed ","Has matado "
" of these creatures."," de estas criaturas."
"This creature can be found in ","Esta criatura se puede encontrar en "
"This creature lives in ","Esta criatura vive en "
"This creature dwells underground.","Esta criatura habita bajo tierra."
"This event occurred on the ","Este hecho ocurri¢ el "
" in the year "," en el a¤o "
"Somebody","Alguien"
" giving of "," dando de "
" placement of "," lugar de "
"an untitled work","un trabajo sin t¡tulo"
" to "," a "
"somebody","Alguien"
"The destruction of","La destrucci¢n de"
" refusal to give "," negativa a dar "
" gaining of "," ganando de "
" possession of "," posesi¢n de "
"The reunion of ","la reuni¢n de "
"Your reunion with ","Tu reencuentro con "
"Your death","Tu muerte"
"The death of ","La muerte de "
"A ","Un "
"production order violation","violaci¢n de orden de producci¢n"
"export prohibition violation","violaci¢n de prohibici¢n de exportaci¢n"
"job order violation","violaci¢n de orden de trabajo"
"conspiracy to slow labor","conspiraci¢n para ralentizar el labor"
"crime of murder","crimen de asesinato"
"disorderly conduct","conducta desordenada"
"building destruction","destrucci¢n de construcci¢n"
"bribery","soborno"
"embezzlement","malversaci¢n"
"vandalism","vandalismo"
"crime of theft","delito de robo"
"crime of robbery","delito de atraco"
"crime of espionage","delito de espionaje"
"crime of treason","delito de traici¢n"
"crime of blood-drinking","delito de beber sangre"
"crime of attempted theft","delito de tentativa de robo"
"crime of attempted murder","delito de intento de asesinato"
"crime of kidnapping","delito de secuestro"
"crime of attempted kidnapping","delito de tentativa de secuestro"
" self-identification to "," autoidentificaci¢n a "
" refusal to identify to "," negativa a identificarse "
" demand of submission from "," demanda de sumisi¢n de "
" attack on "," atacar a "
" escalated attack on "," ataque intensificado a "
" ascension"," ascensi¢n"
" presence"," presencia"
"'s presence","la presencia"
"'s acceptance of ","la aceptaci¢n de "
"'s offer of tribute","La oferta de tributo"
"'s refusal of ","la negativa de "
"'s demand for tribute","la demanda de tributo"
"'s offer of peace","la oferta de paz"
"'s cessation of tribute to ","el cese del tributo a "
"'s claim","el reclamo"
" on "," en "
"'s harassment","el hostigamiento"
"'s withdrawal from ","la retirada de "
"'s flight","el vuelo"
" from "," de "
"'s abandonment","el abandono"
"The insurrection","La insurrecci¢n"
" against "," Contra "
"The ","En "
"insurrection crushed","insurrecci¢n aplastada"
" by "," por "
"failed insurrection ","insurrecci¢n fallida "
"overthrow ","derrocamiento "
"'s reclamation","la reclamaci¢n"
"'s foundation","la fundaci¢n"
"'s march","la marcha"
" to reclaim "," para reclamar "
" to found a site in "," fundar un sitio en "
" toward "," hacia "
"The occupation of ","La ocupaci¢n de "
"Your abduction","Tu secuestro"
"The abduction of ","El secuestro de "
"The destruction of ","La destrucci¢n de "
"The presence of ","La presencia de "
"Your possession of ","Tu posesi¢n de "
"'s possession of ","la posesi¢n de "
"The absence of ","La ausencia de "
"'s ","'eres "
"Your lack of possession of ","Tu falta de posesi¢n de "
"'s lack of possession of ","la falta de posesi¢n de "
"You have been ordered to drive these forces out.","Se te ha ordenado expulsar a estas fuerzas."
"You have been ordered to slay this creature.","Se te ha ordenado que mates a esta criatura."
"You have been ordered to cause trouble for these forces.","Se te ha ordenado causar problemas a estas fuerzas."
"You have been ordered to clear the forces from this site.","Se le ha ordenado que retire las fuerzas de este sitio."
"You last","Tu £ltimo"
" heard this "," escucha esto "
"on the ","sobre el "
