"Throw ","caith "
"young","¢g"
"no sphere","gan gn‚"
"farming","Feirmeoireacht"
"animals","ainmh¡"
"art","eala¡n"
"balance","cothroma¡ocht"
"beauty"," illeacht"
"birth","breith"
"blight","Millte"
"boundaries","teorainn"
"caverns","uaimheanna"
"chaos","anachain"
"charity","d‚irc"
"children","P ist¡"
"coasts","c¢sta¡"
"consolation","s¢l sach"
"courage","misni£il"
"crafts","cearda¡ocht"
"creation","cruth£"
"dance","damhsaigh"
"darkness","dorchadas"
"dawn","biorach "
"day","l  "
"death","b s "
"deformity","m¡chumtha"
"depravity","m¡mhor ltacht"
"discipline","smacht"
"disease","galrach"
"dreams","ag taibhreamh"
"dusk","cloch n"
"duty","dualgas"
"earth","talamh "
"family","teaghlaigh"
"fame","cl£"
"fate","cinni£int"
"fertility","torth£il"
"festivals","f‚ilti£il"
"fire","tine "
"fishing","iascaireacht"
"food","bia"
"forgiveness","maithi£nas"
"fortresses","daingean"
"freedom","saoirse"
"games","cluich¡"
"generosity","flaithi£lacht"
"happiness","sonas"
"hospitality","f ilte"
"inspiration","spreagadh"
"jealousy","‚ad"
"jewels","geamanna"
"justice","c¢ir"
"labor","oibre"
"lakes","lochanna"
"laws","dl¡the"
"lies","br‚aga"
"light","solas "
"lightning","tintreach "
"longevity","fadsaola¡"
"love","gr "
"loyalty","d¡lseacht"
"luck"," dh"
"lust","dr£is"
"marriage","p¢sadh"
"mercy","tr¢caire"
"metals","miotalail"
"minerals","mianra¡"
"misery","ainnise"
"mist","ceo "
"moon","gealach "
"mountains","sl‚ibhte"
"muck","salachar "
"murder","d£nmhar£"
"music","ceol"
"nature","d£lra"
"night","o¡che"
"nightmares","tromlu¡onna"
"oaths","mionn"
"oceans","aig‚in"
"order","ord"
"painting","picti£r"
"peace","s¡och in"
"persuasion"," iti£"
"plants","planda¡"
"poetry","fil¡ocht"
"pregnancy","toircheas"
"rain","b isteach "
"rainbows","bogha b ist¡"
"rebirth","athbheochan"
"revelry","ceili£radh"
"revenge","d¡oltas"
"rivers","aibhneacha"
"rulership","riail"
"rumors","r fla"
"sacrifice","¡obair"
"salt","salann "
"scholarship","scol ireacht"
"seasons","s‚as£ir"
"silence","tost"
"sky","sp‚ir "
"song","amhr n"
"speech","¢r id"
"stars","r‚alta¡"
"storms","stoirmeacha"
"strength","neart"
"suicide","f‚inmhar£"
"sun","grian "
"theft","gada¡ocht"
"thralldom","searbh¢nta"
"thunder","toirneach"
"torture","c‚asadh"
"trade","tr d il"
"travelers","f na¡"
"treachery","feall"
"trees","crannainn"
"trickery","cleasa¡ocht"
"truth","f¡rinne"
"valor","cr¢gacht"
"victory","bua"
"volcanos","bolc in"
"war","coga¡"
"water","uisce"
"wealth","rachmas"
"weather","aimsir"
"wind","gaoth "
"wisdom","eagna"
"writing","scr¡bhneoireacht"
"youth","¢g"
"blob","pr¡omhaidh"
"quadruped","ceithrechosach"
"humanoid","daonna "
"silverfish","gil¡n"
"mayfly","cuil Bhealtaine"
"dragonfly","sn thaid mh¢r"
"damselfly","b‚chuil"
"stonefly","cuil cloch"
"earwig","gailseach"
"grasshopper","dreoil¡n teaspaigh"
"cricket","criogar"
"stick insect","cip¡neach"
"cockroach","ciar¢g dhubh"
"termite","teirm¡t"
"mantis","maintis"
"louse","m¡ol"
"thrips","feithid beag"
"aphid","aifid"
"cicada","cioc id"
"assassin bug","m¡ol feallmharf¢ir"
"wasp","foiche"
"bee","beach"
"hornet","cornfhoiche"
"ant","seang n"
"tiger beetle","ciar¢g t¡ogar"
"ladybug","b¢¡n D‚"
"weevil","gobach n"
"darkling beetle","gobach n"
"click beetle","cruimh"
"firefly","lampr¢g"
"scarab beetle","scarab ciar¢g"
"stag beetle","carria ciar¢g"
"dung beetle","trumpall n"
"rhinoceros beetle","ciar¢g adharcach"
"rove beetle","bheith ag f na¡ocht ciar¢g"
"snakefly","cuil nathair"
"lacewing","sciath n l sa"
"antlion larva","larbha seang nleon"
"fly","cuil"
"mosquito","muisc¡t"
"flea","dreancaid"
"scorpionfly","scairpcuil"
"caddisfly","Cuil chad in"
"butterfly","f‚ileac n"
"moth","leamhan"
"caterpillar","cruimh"
"maggot","lofach"
"spider","damh n alla"
"tarantula","tarant£la"
"scorpion","scairp"
"tick","sceart n"
"mite","m¡ol mion"
"shrimp","cloiche n"
"lobster","gliomach"
"crab","port n"
"nematode","n‚imeat¢id"
"snail","seilide"
"slug","dr£cht¡n"
"earthworm","p‚ist thal£n"
"leech","dealgaid"
"bristleworm","g illeach"
"ribbon worm","rib¡nph‚ist"
"flat worm","leathph‚ist"
"toad","babh n"
"frog","loscann"
"salamander","salamandar"
"newt","earc luachra"
"alligator","ailig‚adar"
"crocodile","crocad¡ll"
"lizard","thallach"
"chameleon","camail‚an"
"iguana","iog na"
"gecko","geiceo"
"skink","scinc"
"gila monster","arracht Gila"
"monitor","laghairt mhonat¢ra"
"serpent","nathair"
"viper","biorach"
"rattlesnake","nathair chrabhaidh"
"cobra","c¢bra"
"python","piot¢n"
"anaconda","anacanda"
"turtle","turtair"
"tortoise","toirt¡s"
"pterosaur","pt‚aras r"
"dimetrodon","dim‚atrad¢n"
"sauropod","s r¢p¢d"
"theropod","t‚arap¢d"
"iguanodont","iog nad¢n"
"hadrosaurid","hadras rach"
"stegosaurid","steigeas rach"
"ceratopsid","ceireatopsach"
"ankylosaurid","ancailis rach"
"duck","lacha"
"goose","g‚"
"swan","eala"
"turkey","turca¡"
"grouse","cearc fhraoigh"
"chicken","cearc"
"quail","gearraghuirt"
"pheasant","pias£n"
"gull","faoile n"
"loon","t£mna¡"
"grebe","faoitinn"
"albatross","albatras"
"petrel","peitreal"
"penguin","piongain"
"pelican","peileac n"
"stork","storc"
"vulture","bult£r"
"flamingo","flamang¢"
"falcon","fabhcun"
"kestrel","pocaire gaoithe"
"osprey","iascaire cainpeach"
"buzzard","bult£r cluasach"
"eagle","iolar"
"harrier","scimire"
"hawk","seabhac"
"kite","cloch n"
"crane","corr"
"dove","colm"
"pigeon","col£r"
"parrot","pear¢id"
"cockatoo","cacat£"
"cuckoo","cuach"
"owl","ulchabh n"
"nightjar","t£irne o¡che"
"swift","b sleac"
"hummingbird","‚an beacha"
"kingfisher","cruid¡n"
"hornbill","adharcmh¡l"
"quetzal","ceastal"
"toucan","t£c n"
"woodpecker","snag darach"
"lyrebird","lir-‚an"
"thornbill","sciot¢g"
"honeyeater","militeoir"
"oriole","¢r¢l"
"fantail","gaothr n"
"shrike","scr‚ach¢g"
"crow","feann¢g"
"raven","fiach dubh"
"jay","scr‚ach¢g choille"
"magpie","snag breac"
"kinglet","dreoil¡n easpaig"
"lark","fuiseog"
"swallow","f inleog"
"martin","gabhl n"
"warbler","ceolaire"
"thrush","sm¢lach"
"oxpecker","snag daimh"
"starling","druid"
"mockingbird","‚an aithrise"
"wren","dreoil¡n"
"nuthatch","cn¢shnag"
"sparrow","gealbhan"
"tanager","tanagar"
"cardinal","m¢rchairdin‚al"
"bunting","geal¢g"
"finch","glaos n"
"titmouse","meant n"
"chickadee","meant n mhaoil¡n"
"waxwing","sciath n c‚arach"
"flycatcher","cuileogaire"
"opossum","apasam"
"koala","c¢ala"
"wombat","bombaid"
"kangaroo","cangur£"
"sloth","shladth¢ir"
"anteater","seang na¡"
"armadillo","armadail¡n"
"squirrel","Iora rua"
"marmot","marmat"
"beaver","bhaobhar"
"gopher","gofair"
"rat","francach"
"mouse","luachfhuil"
"porcupine","g inneach"
"chinchilla","sinsile"
"cavy","mhuic¡n"
"capybara","caipibe ra"
"rabbit","coin¡n"
"hare","giorria"
"lemur","l‚amhar"
"loris","l¢rais"
"monkey","monca¡"
"ape"," pa"
"hedgehog","g inneach n"
"shrew","dall¢g fhraoigh"
"mole","caoch n"
"fruit bat","ialt¢g thortha¡"
"bat","ialt¢g"
"wolf","mac t¡re"
"coyote","coit¢t"
"fox","sionnach"
"jackal","seac i"
"raccoon","rac£n"
"coati","c¢it¡"
"weasel","eas¢g"
"otter","mhadra uisce"
"badger","broc"
"skunk","scainc"
"panda","p nda"
"panther","panatar"
"mongoose","mong£s"
"hyena","faolch£"
"civet","sibhialt"
"walrus","bhiasbhuail"
"pangolin","pangal¡n"
"elephant","eilifint"
"mammoth","mamat"
"horse","capall"
"donkey","asal"
"zebra","s‚abra"
"tapir","t ipir"
"rhinoceros","sr¢nbheannach"
"pig","muc"
"warthog","torc rilleach"
"hippopotamus","each uisce"
"camel","camall"
"llama","l ma"
"giraffe","sior f"
"deer","fia"
"elk","eilit"
"moose","m£s"
"antelope","antal¢p"
"sheep","caora"
"goat","gabhar"
"bison","b¡os£n"
"buffalo","buabhal"
"bull","tarbh"
"shell","blaosc"
"antennae","adharc in"
"beak","gob"
"quills","gathanna"
"plates","pl ta¡"
"horns","adharca"
"glowing","ag taitneamh"
" It has "," t  "
"wings","sciath in"
"winged","sciath nach"
" It has two "," t  dh  "
" It has three "," t  tr¡ "
" It has a "," t  "
"long, hanging","fada ar crochadh"
"long, straight","fada d¡reach"
"long, curly","fada cas"
"short","gearr"
"stubby","m¡nghearr"
"narrow","caol"
" tails"," eireabaill"
" tail"," eireaball"
" It has a proboscis"," t  prabalas aige"
" It has a long, swinging trunk"," t  stoc fada luascach aige"
" It has a fat, bulging trunk"," t  stoc reamhar ata aige"
" It has a twisting, jointed trunk"," t  stoc casta altach aige"
" It has a curling trunk"," t  stoc l£btha aige"
" It has a knobby trunk"," t  stoc cnap nach aige"
" It has a round shell"," t  blaosc chruinn aige"
" It has a spiral shell"," t  blaosc r¡seach aige"
" It has a square shell"," t  blaosc chearnach aige"
" It has a knobby shell"," t  blaosc chnap nach aige"
" It has an enormous shell"," t  blaosc ollm¢r aige"
" It has a broad shell"," t  blaosc leathan aige"
" It has a pair of long antennae"," t  p‚ire adharc n fada aige"
" It has a pair of fan-like antennae"," t  p‚ire adharc n feanacha aige"
" It has a pair of spindly antennae"," t  p‚ire adharc n caol aige"
" It has a pair of squat antennae"," t  p‚ire adharc n mion aige"
" It has a pair of branching antennae"," t  p‚ire adharc n craobhach aige"
" It has a pair of knobby antennae"," t  p‚ire adharc n cnap nach aige"
"two ","dh  "
"three ","tr¡ "
"four ","ceithre "
"a "," "
"long, spiral","fada, r¡seach"
" long, curving"," fada, l£btha"
"broad","leathan"
" horns"," adharca"
" horn"," adharc"
"skinless","gan chraiceann"
" It has large mandibles"," t  giallacha m¢ra aige"
"eyeless","gan ts£il"
"blind","dall"
"one-eyed","aons£ileach"
"three-eyed","tr¡s£ileach"
"beakless","gan ghob"
"noseless","gan tsr¢n"
"with lidless eyes","le s£ile gan lide"
"hairy","gruagach"
"thin wings of stretched skin","t  a scainneacha"
". Its "," a "
" hair is "," t  a ghruaim "
"long and shaggy","fada clumhach"
"very curly","an-chas"
"short and even","gearr cothrom"
"patchy","paisteach"
"unkempt","m¡shlachtmhar"
"long and straight","fada tonnach"
"long and wavy","fada tonnach"
"feathered","cl£mhach"
"feathered wings","sciath in cl£mhaacha"
" feathers are "," t  a chluimhreach "
"fluffed-out","sreangtha amach"
"downy","m¡nchlumhach"
"long and broad","fada leathan"
"long and sparse","fada tana¡"
"long and narrow","fada caol"
"scaly","scantach"
" scales are "," t  a scainneacha "
"small","beag"
"large","m¢r"
"round","cruinn"
"blocky","blocach "
"jagged","garbh "
"oval-shaped","ubhchruthach"
" and "," agus "
"overlapping","forluiteach"
"set far apart","fada amach ¢na ch‚ile"
"close-set","dl£thphac ilte"
"fleshy","feolmhar"
" skin is "," t  a chraiceann "
"waxy","c‚arach"
"leathery","leathair"
"warty","faithneach"
"sleek and smooth","m¡n glan"
"rough and cracked","garbh scoilte"
"wrinkled","rocach"
"armored","arm£rtha"
"lacy wings","sciath in l sa"
" exoskeleton is "," t  a fhaidsciath n "
"six-legged","s‚chosach"
"eight-legged","ocht gchosach"
"in humanoid form","i bhfoirm dhaonna"
"twisted into humanoid form","casta i bhfoirm dhaonna"
"with external ribs","le heasnacha seachtracha"
"composed of ","d‚anta as "
"soil","ithir"
"ash","luaithre "
"shadow","sc th"
"soot","s£iche "
"embers","aibhneacha"
"cinders","gualach"
"composed of ash","d‚anta as luaithre"
"gray","liath"
"shade","sc il"
"mud","l ib "
"sludge","sloda "
"composed of mud","d‚anta as l ib"
"brown","donn"
"slick","m¡n"
"quagmire","corcach"
"vomit","urlacan"
"composed of vomit","d‚anta as urlacan"
"green","glas"
"disgusting appearance","m¡shlachtmhar uaf sach"
"brine","s il "
"composed of salt","d‚anta as salann"
"white","b n"
"filth","salachar "
"grime","salachar"
"composed of grime and filth","d‚anta as br‚antas agus salachar"
"waste","cac"
"snow","sneachta"
"composed of snow","d‚anta as sneachta"
"blizzard","anfa sneachta"
"slush","slisneach "
"sleet","fuarfhras"
" of tears"," de dheora"
"composed of water","d‚anta as uisce"
"flood","tuile"
"tear","deor"
"of tears"," de dheora"
"steam","gail"
"composed of steam","d‚anta as gail"
"boiling","fiuchta"
"flame","lasair "
"composed of flame","d‚anta as lasair"
"red","dearg"
"inferno","ifreann "
"flare","tine thonnbhreac"
"flaming","lasrach"
"burning","d¢"
"scorching","losgach"
"smoke","deatach "
"amber","¢mar"
"composed of amber","d‚anta as ¢mar"
"coral","coir‚il"
"composed of coral","d‚anta as coir‚il"
"glass","gloine"
"composed of green glass","d‚anta as gloine ghlas"
"composed of clear glass","d‚anta as gloine ghlan"
"composed of crystal glass","d‚anta as gloine chriostail"
"coal","gual"
"composed of charcoal","d‚anta as gualach adhaid"
"black","dubh"
"composed of coke","d‚anta as c¢c"
"composed of solid salt","d‚anta as salann cruinn"
"ice","oighear "
"composed of ice","d‚anta as oighear"
"Beware its poisonous sting!","fainic a gha nimhi£il!"
"Beware its fire!","fainic a thine!"
"Beware its webs!","fainic a l¡nte!"
"dust","deannach "
"vapor","gail "
"gas","g s"
"Beware its poisonous vapors!","fainic a ghaile nimhi£la!"
"Beware its poisonous gas!","fainic a gh s nimhi£il!"
"Beware its deadly dust!","fainic a dheannach marfach!"
"Beware its deadly spittle!","fainic a sheile mharfach!"
"Beware its noxious secretions!","fainic a r£n mhoirtbheola¡och!"
"Beware its deadly blood!","fainic a fhuil mharfach!"
"Beware its poisonous bite!","fainic a ghreim nimhi£il!"
"Beware its hunger for warm blood!","fainic a th¢ir ar fhuil the!"
"it has a regal bearing","t  iompar r¡oga aige!"
"it has an austere look about it","t  cuma dhuairc air!"
"it moves deliberately","gluaiseann s‚ go mall r¡ofa"
"it moves about carelessly","gluaiseann s‚ thart go m¡ch£ramach"
"peaceful nature","n d£r s¡och nta"
"it bears a look of unbelievable peace","t  cuma na s¡och na dhochreidte air"
"kind nature","n d£r cine lta"
"it emanates an aura of giving and kindness","scaoileann s‚ aura bronntanais agus cine ltais"
"joyful nature","n d£r l£ch ireach"
"joy marks its every movement","comhartha¡onn l£ch ir gach gluaiseacht d  chuid"
"it moves its will in accordance with the truth of things","gluaiseann s‚ a thoil de r‚ir fh¡rinne na ruda¡"
"it is ravening","t  s‚ craosach"
"it is slavering","t  s‚ ag drannadh"
"it belches and croaks","br£chtann agus cr icneann s‚"
"rhythmic undulations","luasctha¡ rithimi£la"
"it undulates rhythmically","luascann s‚ go rithimi£il"
"it squirms and fidgets","scinnfideann agus biba¡onn s‚"
"bloated appearance","cuma atfhaite"
"it has a bloated body","t  corp atfhaite aige"
"it has a gaunt appearance","t  cuma thana¡ air"
"it appears to be emaciated","dealra¡onn s‚ go bhfuil s‚ sp¡onta"
"it chants ceaselessly","cana¡onn s‚ gan stad"
"it murmurs horrible curses","cogarna¡onn s‚ mallachta¡ uaf sacha"
"it spouts gibberish periodically","scaitheadh s‚ seaf¢id go tr‚imhsi£il"
"it knows and intones the names of all it encounters","t  aithne aige ar ainmneacha gach duine a mbuaileann s‚ leis agus inton lann s‚ iad"
"it repeatedly makes threats of torture and death","d‚anann s‚ bagairt¡ c‚ast¢ireachta agus b is ar¡s agus ar¡s eile"
" great"," m¢r"
" gigantic"," ollmh¢r"
" towering"," ardteorainneach"
"n enormous","n ollmh¢r"
" huge"," ollmh¢r"
" very large"," an-mh¢r"
" large"," m¢r"
" very small"," thar a bheith beag"
" small"," beag"
"eyes glow","s£ile ag taitneamh"
"eye glows","s£il ag taitneamh"
"swamp","corcach "
"marsh","boglach "
"sand","gaineamh"
"desert","f sach"
"jungle","foraois bh ist¡"
"forest","foraois "
"mountain","sliabh "
"ocean","aig‚an "
"lake","loch"
"glacier","oighearshruth"
"brush","scrobarnach"
"plains","machair¡"
"hill","cnoc"
"beast sickness","tinneas arrachta"
"titan sickness","tinneas tite in"
" titan"," tite n"
"",""
" titans"," tite in"
"-titan"," -tite n"
"demon","deamhan"
"demons","deamhain"
"demonic","deamhanach"
"devil","diabhal"
"devils","diabhail"
"devilish","diabhalta "
"fiend","sc l"
"fiends","sc il"
"fiendish","sc lach "
"brute","br£it"
"brutes","br£it¡"
"brutish","br£iti£il"
"monster","arracht"
"monsters","arrachta¡"
"spirit","spiorad"
"spirits","spioraid"
"ghost","taibhse"
"ghosts","taibhs¡"
"banshee","bean s¡"
"banshees","mn  s¡"
"haunt","cr iteoir"
"haunts","cr iteoir¡"
"phantom","fantom"
"phantoms","fantaim"
"specter","sc il"
"specters","sc il¡"
"wraith","asarlach"
"wraiths","asarlaigh"
"brimstone","gilit¡n"
"demon sickness","tinneas deamhain"
"horrifying features","gn‚ithe uaf sacha"
" of "," de "
"Now you will know why you fear the night.","anois beidh a fhios agat c‚n f th a bhfuil eagla ort roimh an o¡che"
"night sickness","tinneas o¡che"
"trolls","troid"
"man","fear"
"men","fir"
"woman","bean"
"women","mn "
"hag","cailleach"
"hags","cailleacha"
"crone","cr¢in"
"crones","cr¢inte"
"creature","cr‚at£r"
"creatures","cr‚at£ir"
"ogre","¢gar"
"ogres","¢gair"
"ogress","bhan-¢gar"
"ogresses","ban-¢gair"
"freak","hiasacht"
"horror","uaf s"
"horrors","uaf is"
"midnight","me n o¡che"
"vile","gr nna "
"gloom","gorm "
"bleak","lom"
"it mutters to itself as it moves aimlessly","mutter lann s‚ leis f‚in agus ‚ ag gluaiseacht gan aidhm"
"muttering","mutter il"
"grumbling","gromail"
"brooding","br£chtach"
"it groans from time to time","gionann s‚ ¢ am go ham"
"groaning","gionach"
"moaning","monabhar"
"it howls into high winds","glaonn s‚ isteach i ngaoth ard"
"screaming","scr‚achach"
"howling","glaoch"
"baying","b‚ic¡l"
"bellowing","b£ir¡l"
"shrieking","scr‚ach£il"
"wailing","caoineadh"
"it shambles sluggishly","shambla¡onn s‚ go mall"
"it stamps the ground and snorts","stampa¡onn s‚ an talamh agus sr¢nbheanna¡onn s‚"
"bloated","atfhaite"
"it lumbers along steadily from place to place","lumbr lann s‚ ar aghaidh go seasmhach ¢  it go h it"
"its joints are backward","t  ailt droim ar ais aige"
"backward","ar gc£l"
"it moves with uneven jerking motions","gluaiseann s‚ le gluaiseachta¡ m¡chothroma geitil"
"its limbs jut out at asymmetric angles","gobsann a gh‚aga amach ag uillinneacha asim‚adracha"
"crooked","cam"
"twisted","casta "
"it lopes quickly along the ground","lop lann s‚ go tapa ar an talamh"
"it strides in silence with purpose","si£lann s‚ i dtost le haidhm"
"bug innards","inn¡ feithid¡"
"cooked flesh","feoil ch¢car ilte"
"macabre ways","beala¡ macabre"
"lumbering","lumbr il"
"hulking","ollmh¢r"
"starved","sp¡onta"
"emaciated","tana¡"
" of the night"," den o¡che"
" of evil"," den olc"
" of twilight"," den idirsholas"
" of shadow"," den sc th"
"spouse","c‚ile"
"spouses","c‚il¡"
"mate","p irt¡"
"mates","p irtithe"
"consort","cons¢rt"
"consorts","cons¢irt"
"wife","bean ch‚ile"
"wives","mn  c‚ile"
"bride","br¡deach"
"brides","br¡deacha"
"husband","fear c‚ile"
"husbands","fir ch‚ile"
"bridegroom","fear na bainise"
"bridegrooms","fir na bainise"
"groom","giolla"
"grooms","giolla¡"
" of the "," den "
"terror-inspiring antics","cleasa uaf sacha"
"it hurls vicious insults constantly","caitheann s‚ masla¡ nimhi£la gan stad"
"bogeyman","fear an mh la"
"bogeymen","fir an mh la"
"unfathomably horrifying nature","n d£r uaf sach dochreidte"
"with singular purpose it seeks to destroy the living","le r£n daingean d‚anann s‚ iarracht na beo a scriosadh"
"nightmare","tromlu¡ "
"-like monster every full moon","-chos£il le harracht gach l nghealach"
"-like monster every fool moon!","-chos£il le harracht gach l nghealach bhr‚ige!"
" monster curse"," mallachta¡ arrachta¡"
"it is crazed for blood and flesh","t  s‚ ar mire le haghaidh fola agus feola"
"were","faol"
"s","s"
"unsettling origin","bun£s corraitheach"
" This night creature was first created "," crutha¡odh an cr‚at£r o¡che seo ar dt£s "
"accidentally ","de thaisme "
"by the ","ag an "
" through the fiend's terrifying power"," tr¡ chumhacht uaf sach an sc il"
" through the fiend's twisted power"," tr¡ chumhacht chasta an sc il"
" through the fiend's chaotic power"," tr¡ chumhacht chaotic an sc il"
" after horrible experiments"," tar ‚is turgnaimh uaf sacha"
" gone wrong"," a chuaigh m¡cheart"
" unleashed upon "," scaoilte ar "
" on "," ar "
"multitudes","sluaite"
"the ","an "
"an unknown creature","cr‚at£r anaithnid"
" in "," i "
" in the year "," sa bhliain "
"hand","L mh "
"hands","l mha"
"warrior","gaisc¡och"
"warriors","gaisc¡gh"
"soldier","saighdi£ir"
"soldiers","saighdi£ir¡"
"fist","dorn"
"eye","s£il"
"eyes","s£ile"
"giant","fathach"
"giants","fathaigh"
"hulk","ollmhais"
"hulks","ollmhaiseanna"
"tower","t£r"
"towers","t£ir"
"dog","madra"
"dogs","madra¡"
"hound","c£"
"hounds","coin"
"wolves","mic t¡re"
"beast","arracht"
"beasts","arrachta¡"
"mistake","bot£n"
"mistakes","bot£in"
"folly","amaideacht"
"follies","amaideachta¡"
"experiment","turgnamh"
"experiments","turgnaimh"
"catastrophe","catasr¢f"
"catastrophes","catasr¢facha"
"disaster","tubaiste"
"disasters","tubaist¡"
"misfortune","m¡- dh"
"hexapod","s‚chosach"
"decapod","deich gchosach"
"octopod","ocht gchosach"
"primate","pr¡omhaidh"
"worm","p‚ist"
"wyrm","bhuirm"
"snake","nathair"
"armless biped","dh chosach gan l mha"
"it looks constantly to the sky for rain","breathna¡onn s‚ de sh¡or ar an sp‚ir le haghaidh b ist¡"
"it growls, buzzes, clicks and generally makes a varied racket","dranntann s‚, dordann s‚, clice lann s‚ agus d‚anann s‚ torann ilghn‚itheach go ginear lta"
"it is decorated with intricate patterns","t  s‚ maisithe le patr£in chasta"
"it is perfectly symmetric","t  s‚ go hioml n sim‚adrach"
"it is strikingly beautiful","t  s‚ thar a bheith  lainn"
"it is covered with a filmy sac","t  s‚ cl£daithe le sac scann nach"
"nearby vegetation seem to shrink away from it","dealra¡onn s‚ go gcrapann f sra in aice l imhe uaidh"
"the pieces of its body are carefully separated by markings","t  p¡osa¡ a choirp scartha go c£ramach le marc lacha"
"its moans seem to echo no matter where it resides","dealra¡onn s‚ go macallann a osna¡ is cuma c  bhfuil s‚ ag cur faoi"
"it spins wildly, lurching and howling","casann s‚ go fi in, ag luascadh agus ag glaoch"
"it seems very pleasant","dealra¡onn s‚ go bhfuil s‚ an-taitneamhach"
"it never misses an opportunity to jump in puddles","n¡ chailleann s‚ deis riamh l‚im isteach i bpuiteacha"
"it appears to be covered with rocky crags","dealra¡onn s‚ go bhfuil s‚ cl£daithe le creaga carraigeacha"
"it radiates a sad kindness","scaoileann s‚ cine ltas br¢nach uaidh"
"it makes those around it feel brave","cuireann s‚ ar dhaoine thart air a bheith misni£il"
"it appears constructed","dealra¡onn s‚ go bhfuil s‚ t¢gtha"
"small objects seem to pop into existence around it","dealra¡onn s‚ go bpopann ruda¡ beaga i gcruth thart air"
"it whirls, skips and jumps whenever it moves","guairne nann, scipeann agus l‚imeann s‚ gach uair a ghluaiseann s‚"
"it is difficult to see clearly even in bright light","t  s‚ deacair ‚ a fheice il go soil‚ir fi£ i solas geal"
"it always turns to welcome the rise of the sun","tionta¡onn s‚ i gc¢na¡ chun f ilte a chur roimh ‚ir¡ na gr‚ine"
"it hums pleasantly when the sun is high in the sky","dordann s‚ go taitneamhach nuair a bh¡onn an ghrian ard sa sp‚ir"
"it has a rattling exhale","t  an l£ rleach aige"
