"Archery","Öj szat"
" and minerals..."," ‚s  sv nyok..."
"Allow Necromancer Experiments","Nekromanta k¡s‚rletek enged‚lyez‚se"
"The world generator is having trouble placing farming civilizations.  ","A vil ggener tornak gondjai vannak a f”ldmûvel‹ civiliz ci¢k elhelyez‚s‚vel. "
" been knocked unconscious!"," eszm‚letlenre lett tve!"
"Verifying terrain...","Terepviszonyok ellen‹rz‚se..."
"gem","dr gak‹"
"Loading identities...","Szem‚lyazonoss gok bet”lt‚se..."
"Loading general information...","µltal nos inform ci¢k bet”lt‚se..."
"Mouse: ","Eg‚r: "
"Limestone","M‚szk‹"
"vehicle","j rmû"
" but the shot is blocked!"," de a l”v‚s blokkolva!"
"Magma smelter","Magmaolvaszt¢"
"a few weeks ago","n‚h ny h‚ttel ezel‹tt"
"order also works.","parancs szint‚n mûk”dik."
"No Quarters","Nincs sz ll shely"
"There is writing on the slab, but you cannot read.","A t bl n ¡r s van, de nem tudod elolvasni."
"so very brave","oly nagyon b tor"
"legwear","l bra val¢"
"natural history","term‚szettudom ny"
"the coda","a coda"
"Disdains eloquence","Megveti az ‚kessz¢l st"
"This isn't irritating.","Ez nem zavar¢."
"Commerce","Kereskedelem"
"goat","kecske"
"This problem cannot be resolved by continuing, so you should either abort or skip all rejects for a legends-only game.  ","Ez a probl‚ma nem oldhat¢ meg a folytat ssal, ez‚rt vagy meg kell szak¡tanod, vagy ki kell hagynod minden visszadob st a csak legend kb¢l  ll¢ j t‚khoz. "
"Minimum Natural Cave Size","Minim lis term‚szetes barlangm‚ret"
"Temperate Ocean","M‚rs‚kelt ¢ce n"
"solid","szil rd"
"Lye Making","L£g-gy rt s"
"The world generator is having trouble placing tundra regions.  ","A vil ggener tornak gondjai vannak a tundr k elhelyez‚s‚vel. "
" is brawling under the influence!"," befoly solts g alatt dulakodik!"
"greeting ","dv”z”l "
"underworld","alvil g"
"Loading active historical figures...","Akt¡v t”rt‚nelmi szem‚lyek bet”lt‚se..."
" stanza"," str¢fa"
"boiling filth","forr sban l‚v‹ mocsok"
"SMALL ISLAND","KIS SZIGET"
" grotesque"," groteszk"
"Site Cap After Civ Creation","Civiliz ci¢ l‚trehoz sa ut ni helysz¡n-korl t"
"statue","szobor"
"Subterranean Magma","F”ldalatti magma"
"Number of beasts","A fenevadak sz ma"
"ABORT NOW and I'll look over my parameters.","MEGSZAKÖTµS MOST, ‚s  tn‚zem a param‚tereket."
"Placing megabeasts...","Megabesti k elhelyez‚se..."
"clear glass"," tl tsz¢ veg"
"torturing ","k¡noz "
"Alternatively, you can reduce the number of mid-level elevation squares required.","Alternat¡vak‚nt cs”kkentheted a szks‚ges k”z‚pszintû magass gi n‚gyzetek sz m t."
"bruising","z£z"
"mud","s r"
" of 20)"," a 20-b¢l)"
"Spouse: ","H zast rs: "
"Learn ","Tanul "
"After a scale is constructed, notes are named according to degree.  ","A sk la fel‚p¡t‚se ut n a hangjegyeket fokozatok szerint nevezik el. "
"I was beat somebody with the hammer.","Megvertem valakit a kalap ccsal."
"filth","mocsok"
"** Loading Fortress **","** Er‹d bet”lt‚se **"
"Negotiator","T rgyal¢"
"Statue","Szobor"
"Read","Olvas"
" forward bend"," el‹re d‹l"
"sheep","birka"
"Historical figures ","T”rt‚nelmi szem‚lyek "
"Temperate Shrubland","M‚rs‚kelt cserj‚s"
"Badlands","Siv rs g"
"a tendon","egy ¡n"
"begin","kezd"
"Loading entities...","Entit sok bet”lt‚se..."
"I will not lose hope.","Nem fogom elvesz¡teni a rem‚nyt."
"is incredibly muscular and fat, with a large build overall","hihetetlenl izmos ‚s k”v‚r, ‚s ”sszess‚g‚ben nagy testfel‚p¡t‚sû"
" has shared a few rumors."," megosztott n‚h ny pletyk t."
"rhinoceros","orrszarv£"
"Nobles and certain administrators require rooms, and some may also make demands.","A nemesek ‚s bizonyos tisztvisel‹k kl”n szob kat ig‚nyelnek, ‚s egyesek ak r ig‚nyeket is megfogalmazhatnak."
"Trapping","Csapd z s"
"eating without table","asztal n‚lkl evett"
"Write","Ör"
"monitor","var nusz"
"Everywhere","Mindenhol"
"Independence","Fggetlens‚g"
"Container","T rol¢"
"Go to Individual Combat Drill","Menj az egy‚ni harci kik‚pz‚sre"
"have","van"
"speaking","besz‚l"
"rabbit","ny£l"
"FARMING CIVILIZATION PLACED WITHOUT CROPS","F™LDMëVELŠ CIVILIZµCIà N™VNYTERMESZTS NLKšL"
"ocean","¢ce n"
"Age of One Power","Az Egyetlen Hatalom kora"
"Mausoleum","Mauz¢leum"
"tradition","trad¡ci¢"
"a month ago","egy h¢napja"
"Alternatively, you can reduce the number of mountain squares and regions required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal el‹¡rt hegyn‚gyzetek ‚s r‚gi¢k sz m t."
"Make sure your parameters and presets can support mid-elevation, very high drainage, freezing areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a k”zepes magass g£, nagy v¡zelvezet‚sû, fagyos terleteket. "
"Focused","F¢kusz lt"
"Selected tiles are medium priority. [DEFAULT]","A kiv lasztott mez‹k k”zepes priorit s£ak. [DEFAULT]"
"You continue the poem.","Folytatod a verset."
"polished stones","csiszolt k”vek"
"aboveground","felsz¡n"
"Alternatively, you can reduce the number of peaks required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal megk”vetelt cs£csok sz m t."
"POCKET REGION","APRà RGIà"
"Modest Study","Szer‚ny dolgoz¢szoba"
" has slipped into depression..."," depresszi¢ba zuhant..."
"cavern","barlang"
"There are two ways to make drinks for your residents.","K‚tf‚lek‚ppen k‚sz¡thetsz italokat a lak¢knak."
"chinchilla","csincsilla"
" lovers"," szeret‹k"
"south","d‚l"
"Loading machines...","G‚pezetek bet”lt‚se..."
"Other Jobs","Egy‚b munk k"
"I visited with my pet.","Megl togattam a kis llatom."
"has an incredibly broad body that is somewhat weak with only a little fat on it","hihetetlenl sz‚les testtel rendelkezik, amely kiss‚ gyenge, ‚s csak kev‚s zs¡r van rajta"
"meat","h£s"
"Metal Furniture","F‚mb£torok"
"Thoughts","Gondolatok"
"Dragonfire","S rk nytûz"
"Capital","F‹v ros"
" tearing"," elszak¡t"
"Loading belief systems...","Hitrendszerek bet”lt‚se..."
"Serve Customer","šgyf‚l kiszolg l s ra"
"Number of Non-Mountain Caves","Nem hegyvid‚ki barlangok sz ma"
"High willpower","Er‹s akarater‹"
"Loading incidents...","Balesetek bet”lt‚se..."
"You might want to check your preset elevations for the elevation 400.  ","rdemes ellen‹rizned az el‹re be ll¡tott magass gokat a 400-as magass ghoz. "
" the rest of"," a marad‚ka"
"camel","teve"
"This important zone is where your citizens will gather to socialize.  Crucially, the meeting area is where locations such as taverns, temples, hospitals, and the like are established.","Ez a fontos z¢na az a hely, ahol a lakosok ”sszegyûlnek, hogy szocializ l¢djanak. Kiemelten fontos, hogy a tal lkoz¢hely az a terlet, ahol olyan helyeket lehet l‚trehozni, mint a kocsm k, templomok, k¢rh zak ‚s hasonl¢k."
"Competent","Hozz ‚rt‹"
"You've learned ","Megtanultad a "
" feel"," ‚rez"
"I feel no hatred.","Nem ‚rzek gyûl”letet."
"Tropical Ocean","Tr¢pusi ¢ce n"
"mole","vakond"
"Tropical Freshwater Lake","M‚rs‚kelt ‚desvizû t¢"
"is incredibly tall and fat","hihetetlenl magas ‚s k”v‚r"
"live ","‚l‹ "
"Loading local animal populations...","Helyi  llatpopul ci¢k bet”lt‚se..."
"instrument","hangszer"
"Decent Study","Tisztess‚ges dolgoz¢szoba"
"It is freezing cold!","Dermeszt‹ hideg van!"
"That doesn't insult me.","Ez nem s‚rt‹."
"bear","medve"
"Your citizens will eat at this zone.  When not assigned to a particular citizen, citizens without their own dining hall will eat here.  Tables and adjacent chairs should be included.","A lakoss g ebben a z¢n ban fog ‚tkezni. Ha nincs hozz rendelve egy adott lakoshoz, a saj t ‚tkez‹vel nem rendelkez‹ lakosok itt fognak ‚tkezni. Asztalokat ‚s velk szomsz‚dos sz‚keket is tartalmaznia kell."
" left leg lift"," bal l b emel‚s"
"Don't repeat","Ne ism‚teld"
"Hematite","Hematit"
"Detailed mode","R‚szletes zemm¢d"
"Forge ","Koh¢ "
" counterclockwise"," ¢raj r s val szemben"
"Make sure your parameters and presets have adequate squares of this kind.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok megfelel‹ n‚gyzetekkel rendelkeznek. "
"Peace","B‚ke"
"I could not find the hammer.","Nem tudtam megtal lni a kalap csot."
"Crossbow","Sz mszer¡j"
"hiding ","rejteget "
"Natural savagery","Term‚szetes vads g"
" collapses!"," ”sszed‹l!"
"dragonfire","s rk nytûz"
"frozen lye","fagyott l£g"
" embraces "," ”lel‚s "
"dance","t nc"
"mouse","eg‚r"
"flying object","repl‹ t rgy"
"Its nature is still an intriguing puzzle to the learned.  ","Term‚szete m ig ‚rdekfesz¡t‹ tal ny a tud¢sok sz m ra. "
"Magma Kiln","Magmakemence"
"bull","bika"
"Hard Work","Kem‚ny munka"
"Negotiation","T rgyal s"
"How incredibly satisfying!","Hihetetlenl kiel‚g¡t‹!"
"burning","‚g"
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","µss egy felfel‚ vagy lefel‚ ir nyul¢ l‚pcs‹sort ezen a szinten. A parancsnak t”bb emeletre kell kiterjednie. Kattints egy mez‹re, v ltoztasd meg a magass got, majd kattints £jra."
"Organizer","Rendszerez‹"
"Biting","Harap s"
"sky","‚g"
"dirt","f”ld"
" rightward bend"," jobbra d‹l"
"Magma Forge","Magmakoh¢"
"deer","szarvas"
"Digging a channel will mine out a floor or wall at the current level and dig out a ramp at the level ","Csatorna  s sakor egy padl¢ vagy fal kib ny sz sra kerl az aktu lis szinten, ‚s egy r mpa pedig ki s sra kerl k”vetkez‹ szinten: "
"I had a drink.","Ittam egy italt."
"Civilizations use available plants in their surroundings as their initial crops.  ","A civiliz ci¢k a k”rnyezetkben rendelkez‚sre  ll¢ n”v‚nyeket haszn lj k fel kezdeti term‚nyk‚nt. "
"small live animal","kis ‚l‹  llat"
"Studying","Tanul s"
"kangaroo","kenguru"
"It is cold.","Hideg van."
"Bleeding","V‚rzik"
"Disdains friendship","Megveti a bar ts got"
"Titan Number","Tit nok sz ma"
"Hover over an alert icon to see the information. ","Az inform ci¢k megtekint‚s‚hez vidd az eg‚rmutat¢t a figyelmeztet‹ ikon f”l‚. "
"Tranquility","Nyugalom"
"frozen filth powder","fagyott mocsok por"
"drown","fulladt"
"Alternatively, you can reduce the number of high, medium or low drainage squares required.","Alternat¡vak‚nt cs”kkentheted a szks‚ges magas, k”zepes vagy alacsony v¡zelvezet‚sû n‚gyzetek sz m t."
"sometimes","n‚ha"
"Loading agreements...","Meg llapod sok bet”lt‚se..."
" (7 of 8)"," (7 a 8-b¢l)"
"Spar","™k”lv¡v s"
"Mineral occurrence","µsv nyok el‹fordul sa"
"Wait for Combat Training","V rj a harci kik‚pz‚sre"
"just now","csak most"
" a dangerous animal."," egy vesz‚lyes  llat."
"Leadership","Vezet‹k‚szs‚g"
"Loading items...","T rgyak bet”lt‚se..."
"suffocated","megfulladt"
" my partner"," az ‚n partnerem"
"Musical Competition","Zenei vet‚lked‹"
"Loading buildings...","pletek bet”lt‚se..."
" jerking"," veri"
"The weather does not look too bad today.","Az id‹j r s ma nem n‚z ki t£l rosszul."
" large"," nagy"
" left kick"," bal rug s"
"always","mindig"
" a series of "," sor "
"  And what a wind!"," s micsoda sz‚l!"
"Swimming","ész s"
"Pray to ","Im dkozik "
" fluid"," folyad‚k"
" (2 of 8)"," (2 a 8-b¢l)"
"Guildhall","C‚hcsarnok"
"LACK OF PEAKS","HEGYCSéCSOK HIµNYA"
"stone carver","k‹v‚s‹"
"Health","Eg‚szs‚g"
"SMALLER REGION","KISEBB RGIà"
"flying ","repl "
"That doesn't make me grumpy.","Ett‹l m‚g nem leszek mogorva."
"Temperate Brackish Lake","M‚rs‚kelt enyh‚n s¢s vizû t¢"
"Appraisal","rt‚kel‚s"
"lake","t¢"
" by ","  ltal "
"Needs open space","Ny¡lt t‚r szks‚ges"
"metal","f‚m"
"Dead/Missing","Halott/Eltûnt"
"Alternatively, you can reduce the number of high, medium or low rainfall squares required.","Alternat¡vak‚nt cs”kkentheted a szks‚ges magas, k”zepes vagy alacsony csapad‚kmennyis‚gû n‚gyzetek sz m t."
"Finally, ","V‚gre, "
"speak","besz‚lni"
"bled to death","elv‚rzett"
" relaxed"," nyugodt"
" has discovered "," felfedezve "
" playing with "," j t‚k "
"Mace","Buzog ny"
"Choose or create a parameter set to make a custom world.","Egy‚ni vil g l‚trehoz s hoz v lassz vagy hozz l‚tre egy param‚terk‚szletet."
"weapon","fegyver"
"general"," ltal nos"
"Dance","T nc"
"is incredibly muscular and broad-bodied","hihetetlenl izmos ‚s sz‚les testalkat£"
"The world generator is having trouble placing deserts and badlands.  ","A vil ggener tornak gondjai vannak a sivatagok ‚s a siv rs gok elhelyez‚s‚vel. "
"Fever","L z"
"a force","egy er‹"
"perfect ","t”k‚letes "
"Tropical Brackish Pool","Tr¢pusi enyh‚n s¢s vizû medence"
"Creating the world","A vil g megalkot sa"
"my mother","any m"
"a dining hall","egy ‚tkez‹"
"in the future","a j”v‹ben"
"Loading events...","Esem‚nyek bet”lt‚se..."
"Loading...","Bet”lt‚s..."
" been stunned!"," elk bult!"
"Timber","Fûr‚sz ru"
"Hold left button to draw.","Tartsd nyomva a bal eg‚rgombot a rajzol shoz."
"Chant","K nt l"
"Small","Kis"
"Change to blueprint-only mode.","V lt s kiz r¢lagosan alaprajz zemm¢dra."
"footwear","l bbeli"
"stone","k‹"
"creatures","l‚nyek"
"small tame animal","kis szel¡d  llat"
"Singing","nekl‚s"
" telling the tale quite well."," el‚g j¢l elmes‚li a t”rt‚netet."
"Loading coin information...","rmeinform ci¢ bet”lt‚se..."
"Disdains tranquility","Megveti a nyugalmat"
"coral","koral"
" offended"," s‚rt‹d”tt"
"The poetry enters","A k”lt‚szet elindul"
"savanna","szavanna"
"Training Session","Edz‚s"
" graceful"," b jos"
"I wonder what the weather is like outside.","Azon gondolkozom vajon milyen az id‹ odakint."
" body level change"," test szint v lt s"
"Alternatively, you can reduce the number of civilizations required by the parameters.","Alternat¡vak‚nt a param‚terekkel cs”kkentheted a k”telez‹ civiliz ci¢k sz m t."
"Age of Death","A Hal l kora"
"You continue the story.","Folytatod a t”rt‚netet."
"Novice","éjonc"
"You might want to check your preset volcanism for the value 100.  ","rdemes lenne ellen‹rizned az el‹re be ll¡tott vulkanizmus 100-as ‚rt‚k‚t. "
"Recounting legends...","Legend k elmes‚l‚se..."
"Sing","nekel"
"Age of Heroes","A H‹s”k kora"
" intense"," intenz¡v"
"Spring","Tavasz"
"headwear","k‚zbeli"
"Magma Glass Furnace","Magma-vegkemence"
"Placing caves... (","Barlangok elhelyez‚se... ("
"Alternatively, you can reduce the number of forest squares and regions required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal el‹¡rt erd‹n‚gyzetek ‚s r‚gi¢k sz m t."
"Temperate Freshwater Pool","M‚rs‚kelt ‚desvizû medence"
" millstone"," malomk‹"
"my animal training partner"," llatk‚pz‹ partnerem"
"Parameters saved!","Param‚terek elmentve!"
" confused"," zavarodott"
"Sleep","Alv s"
"Alternatively, you can reduce the number of desert squares and regions required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal el‹¡rt sivatagn‚gyzetek ‚s r‚gi¢k sz m t."
" jumps"," od‚bb"
"tapir","tap¡r"
"Musical Performance","Zen‚s el‹ad s"
" had some"," volt valamennyi"
"No official position","Nincs hivatalos  ll spont"
"my child","gyerekem"
"hedgehog","sndiszn¢"
"Use world now","Vil g haszn lata most"
"Loading civilized populations...","Civiliz lt n‚pess‚g bet”lt‚se..."
"Tropical Grassland","Tr¢pusi legel‹"
"bowl","t l"
"Selected tiles are very low priority.","A kiv lasztott mez‹k nagyon alacsony priorit s£ak."
"No Study","Nincs dolgoz¢szoba"
"100 years","100 ‚v"
"Stonecrafting","K‹farag s"
"Dig only ore and gems selected.","Csak a kiv lasztott ‚rcek ‚s dr gak”vek kitermel‚se."
"I talked to my father.","Besz‚ltem az ap mmal."
"Age of Fairy Tales","A Mes‚k kora"
"the depths of the world","a vil g m‚lyeinek"
"Jewelry","kszerk‚sz¡t‚s"
" tell"," mes‚l"
"High","Magas"
"by a ","a k”vetkez‹  ltal "
"green glass ","z”ld veg "
"An abridged chronicle (","Egy r”vid¡tett kr¢nika ("
"Desert","Sivatag"
"a sensory nerve","egy szenzoros ideg"
"parent","szl‹"
" has moved out of range!"," t£l t vol mozgott!"
"Historical figures: ","T”rt‚nelmi szem‚lyek: "
"Chests and coffers are used in personal bedrooms for storing non-clothing objects.  They are also used in some zone-based locations like taverns, hospitals, and libraries for storing useful materials.  A box object must be made before it can be placed.","A szem‚lyi h l¢szob kban l‚v‹ l d k ‚s kom¢dok nem ruh zati t rgyak t rol s ra szolg lnak. N‚h ny z¢na-alap£ helyen, p‚ld ul kocsm kban, k¢rh zakban ‚s k”nyvt rakban is haszn lhat¢k hasznos anyagok t rol s ra. A l da t rgyat el‹bb el kell k‚sz¡teni, miel‹tt elhelyezhet‹ lenne."
"Large","Nagy"
"first ","els‹ "
"One way is to simply re-designate the damp stone for mining in order to build a 3x3 room around the stairs. ","Az egyik lehet‹s‚g, hogy a l‚pcs‹ k”r‚ egy 3x3-as szob t ‚p¡tsnk az, hogy a nedves k”vet egyszerûen £jra b ny szatra jel”ljk ki. "
"Preferred notes in the fundamental scale are named.  ","Az alapsk la el‹nyben r‚szes¡tett hangjegyeit nevezzk meg. "
"Loading armies...","Hadseregek bet”lt‚se..."
"far","t vol"
"Ramp","R mpa"
"coral paste","korallpaszta"
" sharp-edged"," ‚les-sz‚lû"
"Serve ","Szolg l "
"lava","l va"
" from the side"," oldalrol"
"Back to main menu","Vissza a f‹menbe"
"praying","im dkozik"
"Ramp mining blueprint","R mpa ki s s nak alaprajza"
"] or hold the middle mouse button and drag the view.","] vagy tartsd lenyomva a k”z‚ps‹ eg‚rgombot, ‚s h£zd a n‚zetet."
"Recent thoughts","Legut¢bbi gondolatok"
"skink","vakondgy¡k"
" sound"," hang"
"This object is showing some wear.  ","Ez a t rgy kiss‚ kopottas. "
"boiling salt","forr sban l‚v‹ s¢"
"old age","”regkor"
"weasel","meny‚t"
"The music enters ","A zene beindul "
"an unknown construction","egy ismeretlen szerkezet"
"This object is mangled.  ","Ez a t rgy sz‚troncsol¢dott. "
"has an incredibly broad body with some muscle and fat on it","hihetetlenl sz‚les testtel rendelkezik, n‚mi izommal ‚s zs¡rral"
"troublesome poltergeist","bajkever‹ szellem"
" in the middle of "," a k”zep‚n "
"pushes","tolja"
"Most terrain-altering constructions can be found here, from walls and floors to bridges, ramps, stairs, and more.","Itt tal lod a legt”bb terepm¢dos¡t¢ ‚p¡tm‚nyt, a falakat ‚s a padl¢t, a hidakat, a r mp kat, a l‚pcs‹ket ‚s egyebeket."
"not one hour ago","egy ¢r ja se"
"Self-Control","™nkontrol"
"dancing ","t nc "
"frozen filth","fagyott mocsok"
"truth","igazs g"
"Stone Crafting","K‹mûvess‚g"
"falling","esik"
"Disdains cunning","Megveti a ravaszs got"
"It is my misfortune that ","Ez egy szerencs‚tlens‚g, hogy "
"tavern","kocsma"
"mathematics","matematika"
"Tropical Dry Brdlf Forest","Tr¢pusi lomblevelû sz raz erd‹"
"Play","J t‚k"
"It is snowing.","Havazik."
"Cooperation","Egyttmûk”d‚s"
